"","condition_pre","feedback_post","authentic_post","authentic_3_TEXT_post","useful_post","useful_4_TEXT_post"
"82729","mental",NA,NA,NA,NA,NA
"95880","mental",NA,NA,NA,NA,NA
"39270","mental",NA,NA,NA,NA,NA
"57598","mental",NA,NA,NA,NA,NA
"79675","world",NA,NA,NA,NA,NA
"29335","world",NA,NA,NA,NA,NA
"54474","mental",NA,NA,NA,NA,NA
"89550","world",NA,NA,NA,NA,NA
"20267","mental",NA,NA,NA,NA,NA
"36661","mental","","1","","4","I feel like the course did help but I had some troube staying consistant"
"14860","world",NA,NA,NA,NA,NA
"44820","mental",NA,NA,NA,NA,NA
"23670","mental","","3","No Idea what ""authentic mindfulness meditation"" is","4","interesting and, potentially, somewhat useful"
"99376","world","","1","","1",""
"65913","world","","1","","1",""
"30450","mental","None","1","","1",""
"97466","world","","2","","1",""
"16109","mental",NA,NA,NA,NA,NA
"52988","world","","1","","1",""
"93857","mental",NA,NA,NA,NA,NA
"52412","mental","","1","","4","for a long distance it would be useful"
"81607","world","I enjoyed most of the course and was glad I did it. It was frustrating sometimes to sit down and get myself ready for the meditation only to find that I needed a prop or to be in a busy place or a noisy place. I never changed location or got up to get a prop because that would have broken the mood - but I think the meditations would have been better if I had made the effort to do that. It would have been much better if there was a bit at the end of the previous session to say e.g. 'during the next session you will be asked to listen to the sounds around you so you might wish to complete the session somewhere that is not completely silent.' I found the repetition of the instruction to 'note it without judging it' (or something like that) particularly helpful. I would have found a few more comments aimed at teaching me how to do it right helpful.","1,3","I didn't know much about mindfulness so difficult to say but it made sense given my understanding of mindfulness","1",""
"42069","world","I wish there was more talk about how mindfulness helps us with problems in our daily lifes, not just explaining the practice of mindfulness","1","","1",""
"89316","mental",NA,NA,NA,NA,NA
"51166","world","","1","","1",""
"61751","world","","1","","1",""
"62919","mental","","1","","1",""
"45881","mental",NA,NA,NA,NA,NA
"90285","mental","Each time I used the course, I felt like I got to a place of quiet and rest that I needed and I stayed there for about an hour each day, including the start of the audio. I did miss one day and even though that was mid way in or so, I could notice how the whole day I was on edge and got in an argument. It really helps get me noticing the sense of self. ","1","","1",""
"39395","world","","1","","1",""
"69909","mental","","1","","1",""
"79919","mental","","1","","2",""
"11776","world","my answers on the second survey might vary a lot from the first one, because I had a major event happening this week that really stressed me out. so I think the meditation was helpful and in any normal circumstances I would've had more positive responses in the second than the first survey, but due to this event meditation wasnt enough to make me feel better","1","","1",""
"47800","world","","1","","1",""
"69713","world","","1","","1",""
"97682","world",NA,NA,NA,NA,NA
"64354","mental","The Volume on the audios were very low, i had some trouble hearing it fine.","1,3","It was kinda difficult to compelte te session, but it was very helpfull","1",""
"45895","mental","There are elements I use daily, especially when trying to sleep, or noticing sensations when walking.... An explanation of the dots experiments would be interesting.","1","","4","Occasionally useful"
"33809","mental","The volume of the guide was a bit low and since I did not have earphones, I had trouble fully concentrating and hearing sometimes","1","","1",""
"97218","world",NA,NA,NA,NA,NA
"70760","mental","de verdad me llevo mas allá de la meditación, analizar todo con objetividad","1","","1",""
"60773","world",NA,NA,NA,NA,NA
"51440","mental",NA,NA,NA,NA,NA
"30366","mental","","1","","2",""
"19621","mental","","1","","2",""
"34256","world","maybe calming music in background to subconsciously remind you that you are being mindful and to help keep you on track when there is no dialogue.","1","","4","I'm not sure if it had much impact on me or if it was my vitamin d deficiency which i became aware of at the start of the course which i am now treating but i do feel less anxious which i doubt vit d has anything to do with.."
"34799","world",NA,NA,NA,NA,NA
"20865","mental","","1","","2",""
"54615","mental",NA,NA,NA,NA,NA
"13153","mental",NA,NA,NA,NA,NA
"38259","mental","i really loved the meditations, i kind of wish i still had access to the meditations so i can do it again. i liked how each day was a slightly different type of meditation task. the guide was really good too, a good neutral and calm voice. i did however find it hard to concentrate sometimes as my mind is constantly busy","1","","1",""
"52710","world",NA,NA,NA,NA,NA
"86620","world","I found the choosing between the two squares with dots quite challenging both times, because they were moving it felt hard to really work out if there was more or less.
It could potentially be worth maybe controlling for PMS with women, at least personally I feel my concentration can be worse during these times so it could have an impact on results I am not sure.
In the questions at the end it could also be worth asking if anything significant happened in-between the start and end of the course outside of regular ups and downs of life that could impact concentration/ effect of the meditations, for example I have exams coming up and had a personal situation come up a few days ago that of course this was helpful for but I guess it could make things harder as well if that makes any sense? Although I don't know exactly what you're after so it might not be important. Thank you !","1,3","But since I haven't really tried it before I guess I wouldn't know!","1",""
"45553","world","","1","","1",""
"14848","mental",NA,NA,NA,NA,NA
"65553","mental",NA,NA,NA,NA,NA
"47786","world","I really enjoyed this course as being something that I had to consistently complete. I believe this helped me get into the meditation a bit more. ","1","","1",""
"77679","world","I really enjoyed how each session was different, it made me experience different sides to mindfulness.","1","","1",""
"77791","mental","the tests at the end are quite difficult due to the length, but it was a pleasant experience even though I struggled to practice at times","1","","1",""
"49121","mental",NA,NA,NA,NA,NA
"95980","mental","Calming music in the background would have made it much easier and pleasant to engage with.","2","","2",""
"30614","mental",NA,NA,NA,NA,NA
"10830","world",NA,NA,NA,NA,NA
"90294","mental",NA,NA,NA,NA,NA
"46748","world","","1","","1",""
"13774","world",NA,NA,NA,NA,NA
"58091","world",NA,NA,NA,NA,NA
"13231","world","","1","","2",""
"86512","world",NA,NA,NA,NA,NA
