"","condition_pre","time_meditating_post"
"36661","mental","80"
"23670","mental","120 mins"
"99376","world","8 minutes every session and like 6-7 minutes doing my things everyday"
"65913","world","85%"
"30450","mental","2 hours"
"97466","world","100 mins "
"52988","world","2 hours"
"52412","mental","2hours"
"81607","world","ten 10 minute sessions"
"42069","world","100 minutes"
"51166","world","100 minutes"
"62919","mental","10 mins a day"
"90285","mental","11 hours"
"39395","world","50 minutes"
"69909","mental","an hour"
"79919","mental","85 minutes"
"11776","world","1h40 min"
"47800","world","only one time a day, about 15 minutes"
"69713","world","10mins a day"
"64354","mental","aprox 2 hours"
"45895","mental","85% during the course - very little outside"
"33809","mental","~ an hour"
"70760","mental","all week"
"30366","mental","80 minutes"
"19621","mental","100minutes"
"34256","world","80minutes"
"20865","mental","1.5 hours"
"38259","mental","100 minutes (10 mins every day for 10 days)"
"86620","world","The full length of the ten sessions plus around 3 or 4 other times for 5 minutes trying to do a little meditation inside and outside, and around 5 times of just closing my eyes for 30 seconds to try to reset the state I was in / ground me by focusing on my breathing."
"45553","world","110"
"47786","world","3 hours "
"77679","world","1hr and a half"
"77791","mental","60 minuets "
"95980","mental","50 minutes"
"46748","world","30 minutes"
"13231","world","i did all 10 meditations and maybe 20 minutes outside of these"
"12766","mental","65%"
"39010","world","2 hours"
"55199","world","140/150 min"
"58241","mental","15 min"
"41788","mental","3 hrs"
"29516","world","100 mins"
"88278","world","1 hour and a half "
"36541","world","I meditated the whole way through each recording every day"
"75605","world","100"
"35581","mental","Between 80- 90 minutes overall. "
"55852","world","80-100% I think - I dozed off a bit"
"65307","world","200 minutes"
"69449","mental","I did all the sessions and then probably spent an additional 30 mins outside of the course meditating"
"59134","world","2 hours"
"26729","world","20 hours"
"51711","mental","70%"
"75256","mental","7-8 minutes every day "
"49032","world","3 hours in total after 10 days"
"66678","world","88%"
"75187","mental","90 minutes"
"79611","world","100 minutes"
"91976","mental","10 minutes "
"98559","world","About 10 minutes apart from the course."
"18100","mental","45 minutes "
"74211","mental","approximately 3 hours"
"94830","mental","1.5 hours"
"28924","world","100 minutes"
"81832","mental","150"
"43251","mental","10 minutes a day"
"25642","mental","All of it"
"99754","mental","100minutes"
"28204","world","100 min"
"52343","world","90 minutes"
"58235","world","I´d say about 80-90% of the time."
"19441","mental","In the time limit that was given for the 10 days for each day"
"28648","world","2 hours"
"30505","world","20 minutes"
"82693","mental","2 hours"
"85364","world","3"
"42751","world","100 min"
