"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","Q1_1"
"1",1,"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Firstly, after your last mindfulness practice, did you try being mindful during an activity (e.g. chores or walking)?","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","During the ten minute session, what percentage of time were you focusing on the practice? - % time focused"
"2",2,"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID3_1""}"
"3",3,"2023-03-01 14:27:54","2023-03-01 14:39:56","0","37.47.207.148","100","722","1","2023-03-01 14:39:57","R_24MmPu1Qw1Vp94t","","","LN3EBQBA4DQCPIMD3TDJ","","54.527","18.5388","email","EN","1","1.69","689.237","690.689","4","73"
"4",4,"2023-03-01 17:24:54","2023-03-01 17:39:06","0","191.112.191.44","100","851","1","2023-03-01 17:39:07","R_2y33kl6fsHucrcC","","","OIIJ7SA0YAFDO14MQ0SM","","-33.4513","-70.6653","email","EN","2","4.978","7.97","838.36","2","60"
"5",5,"2023-03-01 18:04:18","2023-03-01 18:17:05","0","89.40.213.28","100","767","1","2023-03-01 18:17:06","R_2tuvEdvuFAbPkwO","","","4PHY9Z684S0K0ND3TVQZ","","49.7241","18.8155","email","EN","2","0","0","750.9","0","83"
"6",6,"2023-03-01 22:18:31","2023-03-01 22:30:03","0","89.153.144.185","100","692","1","2023-03-01 22:30:04","R_vZRLJXdAOlKlb57","","","JZ3WX1W2SUWMEW7R0GVF","","40.8556","-8.633","email","EN","1","0","0","673.069","0","100"
"7",7,"2023-03-01 23:17:18","2023-03-01 23:28:50","0","150.254.163.22","100","692","1","2023-03-01 23:28:51","R_3Gea8YJOZoOHoXT","","","FB902XQXWMTFM2E7NZON","","52.4032","16.9264","email","EN","1","0","0","681.452","0","78"
"8",8,"2023-03-02 00:24:35","2023-03-02 00:37:49","0","85.139.10.25","100","793","1","2023-03-02 00:37:51","R_3Gqek6Uh6WrCIAw","","","1NNPRSNXZN1MB2KJRQI6","","38.7905","-9.1859","email","EN","1","17.697","771.556","774.293","2","95"
"9",9,"2023-03-02 01:35:53","2023-03-02 01:49:16","0","83.21.46.188","100","802","1","2023-03-02 01:49:17","R_2q1RetQGP7VXXHI","","","XKXB9NU2Z7U3ALO1K7OG","","52.4052","16.9339","email","EN","1","0","0","736.869","0","86"
"10",10,"2023-03-02 02:03:54","2023-03-02 02:17:20","0","187.199.175.215","100","805","1","2023-03-02 02:17:22","R_1dmlay1JVJ7seJH","","","R5ET4G5ZVP1IFYBY9WRE","","23.2766","-109.7532","email","EN","1","12.725","97.399","762.32","3","54"
