"rt","response","task","target_side","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct","trial_number","n_dots","stimulus","slider_start","participant"
"336.70000000001164","e","choice","left","e","practice","10","55336","0.0-4.0-8.0","true","1","4.25","","",""
"471.20000000001164","i","choice","right","i","practice","18","58104","0.0-4.0-8.1","true","2","4.25","","",""
"261.5","e","choice","left","e","practice","26","60657","0.0-4.0-8.2","true","3","3.85","","",""
"265.79999999998836","i","choice","right","i","practice","34","63210","0.0-4.0-8.3","true","4","3.85","","",""
"340.8999999999942","e","choice","left","e","practice","42","65825","0.0-4.0-8.4","true","5","3.45","","",""
"261.3999999999942","i","choice","right","i","practice","50","68381","0.0-4.0-8.5","true","6","3.45","","",""
"90.89999999999418","i","choice","right","i","practice","58","70764","0.0-4.0-8.6","true","7","3.25","","",""
"498.6000000000058","e","choice","left","e","practice","66","73557","0.0-4.0-8.7","true","8","3.25","","",""
"273.30000000004657","i","choice","right","i","practice","74","76103","0.0-4.0-8.8","true","9","3.05","","",""
"225.5","i","choice","left","e","practice","82","78623","0.0-4.0-8.9","false","10","3.05","","",""
"49.5","i","choice","left","e","practice","90","80959","0.0-4.0-8.10","false","11","3.25","","",""
"133.59999999997672","e","choice","right","i","practice","98","83367","0.0-4.0-8.11","false","12","3.35","","",""
"33.300000000046566","e","choice","left","e","practice","106","85691","0.0-4.0-8.12","true","13","3.45","","",""
"0.5999999999767169","i","choice","right","i","practice","114","87967","0.0-4.0-8.13","true","14","3.45","","",""
"286.9000000000233","e","choice","left","e","practice","122","90529","0.0-4.0-8.14","true","15","3.35","","",""
"95.90000000002328","i","choice","right","i","practice","130","92900","0.0-4.0-8.15","true","16","3.35","","",""
"315.80000000004657","e","choice","left","e","practice","138","95510","0.0-4.0-8.16","true","17","3.25","","",""
"297.9000000000233","i","choice","right","i","practice","146","98099","0.0-4.0-8.17","true","18","3.25","","",""
"287","e","choice","left","e","practice","154","100660","0.0-4.0-8.18","true","19","3.15","","",""
"454.5999999999767","i","choice","right","i","practice","162","103402","0.0-4.0-8.19","true","20","3.15","","",""
"495.5","i","choice","right","i","practice","170","106186","0.0-4.0-8.20","true","21","3.05","","",""
"134.20000000001164","e","choice","left","e","practice","178","108593","0.0-4.0-8.21","true","22","3.05","","",""
"337.0999999999767","i","choice","right","i","practice","186","111219","0.0-4.0-8.22","true","23","2.9499999999999997","","",""
"87.20000000001164","e","choice","left","e","practice","194","113598","0.0-4.0-8.23","true","24","2.9499999999999997","","",""
"283.20000000001164","e","choice","left","e","practice","202","116172","0.0-4.0-8.24","true","25","2.8499999999999996","","",""
"168.70000000001164","e","choice","right","i","practice","210","118631","0.0-4.0-8.25","false","26","2.8499999999999996","","",""
"360.70000000001164","e","choice","left","e","experimental","221","139418","0.0-4.0-8.26","true","27","2.9499999999999997","","",""
"2481.2000000000116","3","confid","","","html-slider-response","223","142421","0.0-4.0-10.26-0.26","","","","Rate your confidence","1",""
"1284.7999999999884","i","choice","right","i","experimental","230","145480","0.0-4.0-8.27","true","28","2.9499999999999997","","",""
"2188.7999999999884","4","confid","","","html-slider-response","232","148172","0.0-4.0-10.27-0.27","","","","Rate your confidence","1",""
"876.2000000000116","i","choice","right","i","experimental","239","150840","0.0-4.0-8.28","true","29","2.8499999999999996","","",""
"2428","4","confid","","","html-slider-response","241","153774","0.0-4.0-10.28-0.28","","","","Rate your confidence","1",""
"0.5","e","choice","left","e","experimental","248","155550","0.0-4.0-8.29","true","30","2.8499999999999996","","",""
"2134.7999999999884","4","confid","","","html-slider-response","250","158188","0.0-4.0-10.29-0.29","","","","Rate your confidence","1",""
"1034.7999999999884","i","choice","right","i","experimental","257","160997","0.0-4.0-8.30","true","31","2.7499999999999996","","",""
