rt,response,task,target_side,correct_response,trial_type,trial_index,time_elapsed,internal_node_id,correct,trial_number,n_dots,stimulus,slider_start,participant
416.3,e,choice,right,i,practice,10,127358,0.0-4.0-8.0,FALSE,1,4.25,,,
412.8,e,choice,left,e,practice,18,130090,0.0-4.0-8.1,TRUE,2,4.65,,,
383.5,i,choice,right,i,practice,26,132813,0.0-4.0-8.2,TRUE,3,4.65,,,
205.2,e,choice,left,e,practice,34,135344,0.0-4.0-8.3,TRUE,4,4.25,,,
880.9,e,choice,right,i,practice,42,138561,0.0-4.0-8.4,FALSE,5,4.25,,,
468.5,e,choice,left,e,practice,50,141328,0.0-4.0-8.5,TRUE,6,4.65,,,
343.1,e,choice,left,e,practice,58,143987,0.0-4.0-8.6,TRUE,7,4.65,,,
363.7,i,choice,right,i,practice,66,146665,0.0-4.0-8.7,TRUE,8,4.45,,,
433.7,i,choice,right,i,practice,74,149426,0.0-4.0-8.8,TRUE,9,4.45,,,
259.5,e,choice,left,e,practice,82,152021,0.0-4.0-8.9,TRUE,10,4.25,,,
289,e,choice,left,e,practice,90,154653,0.0-4.0-8.10,TRUE,11,4.25,,,
278.1,i,choice,right,i,practice,98,157255,0.0-4.0-8.11,TRUE,12,4.15,,,
342.8,e,choice,left,e,practice,106,159911,0.0-4.0-8.12,TRUE,13,4.15,,,
179.5,i,choice,right,i,practice,114,162408,0.0-4.0-8.13,TRUE,14,4.05,,,
462.1,e,choice,left,e,practice,122,165202,0.0-4.0-8.14,TRUE,15,4.05,,,
325.3,i,choice,right,i,practice,130,167851,0.0-4.0-8.15,TRUE,16,3.95,,,
526,i,choice,right,i,practice,138,170692,0.0-4.0-8.16,TRUE,17,3.95,,,
251.1,e,choice,left,e,practice,146,173274,0.0-4.0-8.17,TRUE,18,3.85,,,
341.8,e,choice,right,i,practice,154,175926,0.0-4.0-8.18,FALSE,19,3.85,,,
258.3,e,choice,left,e,practice,162,178535,0.0-4.0-8.19,TRUE,20,3.95,,,
312.9,e,choice,left,e,practice,170,181153,0.0-4.0-8.20,TRUE,21,3.95,,,
87.4,i,choice,right,i,practice,178,183577,0.0-4.0-8.21,TRUE,22,3.85,,,
263.1,e,choice,left,e,practice,186,186158,0.0-4.0-8.22,TRUE,23,3.85,,,
257.6,e,choice,right,i,practice,194,188727,0.0-4.0-8.23,FALSE,24,3.75,,,
372.6,e,choice,right,i,practice,202,191415,0.0-4.0-8.24,FALSE,25,3.85,,,
308.8,e,choice,left,e,practice,210,194037,0.0-4.0-8.25,TRUE,26,3.95,,,
626,e,choice,left,e,experimental,221,252971,0.0-4.0-8.26,TRUE,27,3.95,,,
11526.9,6,confid,,,html-slider-response,223,265006,0.0-4.0-10.26-0.26,,,,Rate your confidence,1,
559.9,e,choice,right,i,experimental,230,267378,0.0-4.0-8.27,FALSE,28,3.85,,,
2921.9,5,confid,,,html-slider-response,232,270808,0.0-4.0-10.27-0.27,,,,Rate your confidence,1,
636.1,i,choice,right,i,experimental,239,273265,0.0-4.0-8.28,TRUE,29,3.95,,,
2812.7,3,confid,,,html-slider-response,241,276582,0.0-4.0-10.28-0.28,,,,Rate your confidence,1,
546.2,e,choice,left,e,experimental,248,278958,0.0-4.0-8.29,TRUE,30,3.95,,,
34161.4,6,confid,,,html-slider-response,250,313628,0.0-4.0-10.29-0.29,,,,Rate your confidence,1,
1214.7,i,choice,left,e,experimental,257,316668,0.0-4.0-8.30,FALSE,31,3.85,,,
3190.9,2,confid,,,html-slider-response,259,320369,0.0-4.0-10.30-0.30,,,,Rate your confidence,1,
377.7,e,choice,right,i,experimental,266,322566,0.0-4.0-8.31,FALSE,32,3.95,,,
2560.8,2,confid,,,html-slider-response,268,325634,0.0-4.0-10.31-0.31,,,,Rate your confidence,1,
413.9,e,choice,right,i,experimental,275,327845,0.0-4.0-8.32,FALSE,33,4.05,,,
3103.9,3,confid,,,html-slider-response,277,331456,0.0-4.0-10.32-0.32,,,,Rate your confidence,1,
333.9,e,choice,left,e,experimental,284,333607,0.0-4.0-8.33,TRUE,34,4.15,,,
42712.1,2,confid,,,html-slider-response,286,376831,0.0-4.0-10.33-0.33,,,,Rate your confidence,1,
272.1,e,choice,left,e,experimental,293,378917,0.0-4.0-8.34,TRUE,35,4.15,,,
2505.6,5,confid,,,html-slider-response,295,381927,0.0-4.0-10.34-0.34,,,,Rate your confidence,1,
266.3,i,choice,right,i,experimental,302,384007,0.0-4.0-8.35,TRUE,36,4.05,,,
2807.2,4,confid,,,html-slider-response,304,387328,0.0-4.0-10.35-0.35,,,,Rate your confidence,1,
217.9,e,choice,left,e,experimental,311,389369,0.0-4.0-8.36,TRUE,37,4.05,,,
3722.6,5,confid,,,html-slider-response,313,393599,0.0-4.0-10.36-0.36,,,,Rate your confidence,1,
362.1,i,choice,right,i,experimental,320,395757,0.0-4.0-8.37,TRUE,38,3.95,,,
