"","email","URN_pre","Q1_1_pre","Q1_2_pre","Q3_pre","Q4_pre","Q5_pre","Q6_pre","Q7_pre","Q8_pre","Q9_pre","Q9_1_a_pre","Q9_2_a_pre","Q9_3_a_pre","Q9_4_a_pre","Q9_5_a_pre","Q9_6_a_pre","Q9_7_a_pre","Q9_8_a_pre","Q9_9_a_pre","Q9_10_a_pre","Q9_11_a_pre","Q9_12_a_pre","Q9_13_a_pre","Q9_14_a_pre","Q9_15_a_pre","Q9_16_a_pre","Q9_17_a_pre","Q9_18_a_pre","Q9_19_a_pre","Q9_20_a_pre","Q9_21_a_pre","Q9_22_a_pre","Q9_23_a_pre","Q9_24_a_pre","Q10_pre","Q10_1_a_pre","Q10_2_a_pre","Q10_3_a_pre","Q10_4_a_pre","Q10_5_a_pre","Q10_6_a_pre","Q10_7_a_pre","Q10_8_a_pre","Q10_9_a_pre","Q10_10_a_pre","Q11_pre","Q11_1_a_pre","Q11_2_a_pre","Q11_3_a_pre","Q11_4_a_pre","Q12_a_pre","Q12_a_1_a_pre","Q12_a_2_a_pre","Q12_a_3_a_pre","Q12_a_4_a_pre","Q12_a_5_a_pre","Q12_a_6_a_pre","Q12_a_7_a_pre","Q12_a_8_a_pre","Q12_a_9_a_pre","Q12_a_10_a_pre","Q12_a_11_a_pre","Q12_a_12_a_pre","Q12_a_13_a_pre","Q12_a_14_a_pre","Q12_a_15_a_pre","Q12_a_16_a_pre","Q12_a_17_a_pre","Q12_a_18_a_pre","Q12_a_19_a_pre","Q12_a_20_a_pre","Q12_a_21_a_pre","Q12_a_22_a_pre","Q13_a_pre","Q13_a_1_a_pre","Q13_a_2_a_pre","Q13_a_3_a_pre","Q13_a_4_a_pre","Q13_a_5_a_pre","Q13_a_6_a_pre","Q13_a_7_a_pre","Q13_a_8_a_pre","Q13_a_9_a_pre","Q13_a_10_a_pre","Q13_a_11_a_pre","Q13_a_12_a_pre","Q13_a_13_a_pre","Q13_a_14_a_pre","Q13_a_15_a_pre","Q14_pre","Q14_1_pre","Q14_2_pre","Q14_3_pre","Q14_4_pre","Q14_5_pre","Q14_6_pre","Q14_7_pre","Q14_8_pre","Q14_9_pre","Q14_10_pre","Q14_11_pre","Q14_12_pre","Q14_13_pre","Q14_14_pre","Q14_15_pre","Q14_16_pre","Q14_17_pre","Q14_18_pre","StartDate_pre","CompletionDate_pre","URN_post","Q2_post","Q3_post","Q4_post","Q5_post","Q6_post","Q7_post","Q8_post","Q8_1_a_post","Q8_2_a_post","Q8_3_a_post","Q8_4_a_post","Q8_5_a_post","Q8_6_a_post","Q8_7_a_post","Q8_8_a_post","Q8_9_a_post","Q8_10_a_post","Q8_11_a_post","Q8_12_a_post","Q8_13_a_post","Q8_14_a_post","Q8_15_a_post","Q8_16_a_post","Q8_17_a_post","Q8_18_a_post","Q8_19_a_post","Q8_20_a_post","Q8_21_a_post","Q8_22_a_post","Q8_23_a_post","Q8_24_a_post","Q9_post","Q9_1_a_post","Q9_2_a_post","Q9_3_a_post","Q9_4_a_post","Q9_5_a_post","Q9_6_a_post","Q9_7_a_post","Q9_8_a_post","Q9_9_a_post","Q9_10_a_post","Q10_post","Q10_1_a_post","Q10_2_a_post","Q10_3_a_post","Q10_4_a_post","Q11_a_post","Q11_a_1_a_post","Q11_a_2_a_post","Q11_a_3_a_post","Q11_a_4_a_post","Q11_a_5_a_post","Q11_a_6_a_post","Q11_a_7_a_post","Q11_a_8_a_post","Q11_a_9_a_post","Q11_a_10_a_post","Q11_a_11_a_post","Q11_a_12_a_post","Q11_a_13_a_post","Q11_a_14_a_post","Q11_a_15_a_post","Q11_a_16_a_post","Q11_a_17_a_post","Q11_a_18_a_post","Q11_a_19_a_post","Q11_a_20_a_post","Q11_a_21_a_post","Q11_a_22_a_post","Q12_a_post","Q12_a_1_a_post","Q12_a_2_a_post","Q12_a_3_a_post","Q12_a_4_a_post","Q12_a_5_a_post","Q12_a_6_a_post","Q12_a_7_a_post","Q12_a_8_a_post","Q12_a_9_a_post","Q12_a_10_a_post","Q12_a_11_a_post","Q12_a_12_a_post","Q12_a_13_a_post","Q12_a_14_a_post","Q12_a_15_a_post","Q13_post","Q13_1_post","Q13_2_post","Q13_3_post","Q13_4_post","Q13_5_post","Q13_6_post","Q13_7_post","Q13_8_post","Q13_9_post","Q13_10_post","Q13_11_post","Q13_12_post","Q13_13_post","Q13_14_post","Q13_15_post","Q13_16_post","Q13_17_post","Q13_18_post","StartDate_post","CompletionDate_post","X","Condition","X1a","X1b","X1c","X2a","X2b","X3a","X3b","X4a","X4b","X5a","X5b","X6a","X6b","X7a","X7b","X8a","X8b","X9a","X9b","X10a","X10b"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","mind","1","0","10","10","no","7","no","6","no","6","no","7","no","5","no","8","no","6","no","4","no"
"2","344","160375-160369-12304761","1","1","16","10","1995","male","3","7",NA,"5","4","4","2","2","5","4","2","4","4","2","2","2","2","4","4","2","4","2","4","4","3","3","4",NA,"2","1","2","4","4","1","4","4","2","2",NA,"1","1","1","1",NA,"2","1","1","1","1","1","1","1","1","1","3","3","2","1","2","2","2","2","1","1","2","1",NA,"3","3","4","4","4","5","3","2","4","2","4","2","2","2","5",NA,"5","2","5","2","5","2","6","6","6","2",NA,"5","5","2","6","2","4","6","2016-03-01 13:31:24 utc","2016-03-01 13:42:12 utc","179190-179183-12723911","16","10","1995","male","7","8",NA,"4","5","5","2","2","4","5","2","1","4","2","2","3","2","4","4","2","4","2","4","5","2","2","3",NA,"2","2","2","5","5","2","4","5","1","2",NA,"1","1","1","1",NA,"2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"4","3","4","4","3","4","2","4","4","2","4","2","2","4","4",NA,"5","2","6","1","6","2","6","6","6","1","1","6","6","2","6","1","4","6","2016-03-16 13:35:39 utc","2016-03-16 13:43:30 utc","1","mental states","1","-4","6","7","yes","9","no","10","yes","7","yes","4","yes","6","no","7","no","7","no","4","yes"
"3","32","160375-160369-20018731","1","1","25","2","1964","male","4","6",NA,"4","4","3","4","2","4","3","4","3","4","2","2","3","3","3","3","2","2","3","4","3","2","2","3",NA,"3","3","3","4","4","3","4","4","4","2",NA,"2","2","2","1",NA,"1","2","2","3","1","3","2","1","2","3","2","2","3","3","1","2","2","3","3","2","2","3",NA,"1","4","2","4","4","4","2","2","3","1","2","2","4","4","5",NA,"5","3","5","5","4","5","5","4","5","2","4","5","4","5","3","4","4","5","2017-02-08 20:02:54 utc","2017-02-08 20:24:42 utc","179190-179183-20538567","25","2","1964","male","2","3",NA,"3","4","3","3","2","5","3","3","4","4","2","2","4","2","4","3","2","3","2","4","3","2","2","1",NA,"4","2","3","4","5","3","4","4","3","2",NA,"2","1","2","1",NA,"1","1","2","2","1","1","1","1","2","2","1","1","2","1","1","2","1","2","1","1","1","2",NA,"2","2","1","1","2","2","2","2","1","1","1","2","3","2","4",NA,"5","2","5","3","5","3","5","5","5","1","2","5","4","2","5","2","4","5","2017-02-22 19:51:03 utc","2017-02-22 20:14:04 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","3","160375-160369-22021465","1","1","23","6","1989","male","4","8",NA,"5","4","2","4","1","5","4","4","1","2","2","4","2","5","4","5","5","4","5","5","4","4","4","5",NA,"4","5","5","2","4","2","1","2","4","5",NA,"2","1","3","4",NA,"3","4","4","2","4","1","1","3","4","3","4","1","3","4","1","3","4","4","4","3","4","4",NA,"5","5","5","5","4","5","5","2","4","2","5","5","4","5","5",NA,"5","1","5","6","5","6","2","1","2","5","6","1","1","5","5","5","3","2","2017-03-30 17:36:29 utc","2017-03-30 18:02:08 utc","179190-179183-22500617","23","6","1989","male","2","1",NA,"4","5","4","5","2","4","5","4","2","5","5","5","4","5","5","4","4","5","5","4","2","4","5","4",NA,"5","4","5","4","5","5","5","2","4","4",NA,"4","4","3","2",NA,"4","3","3","4","3","2","2","1","3","1","2","1","3","3","1","2","4","3","3","4","4","4",NA,"5","4","4","5","2","2","4","4","5","2","4","5","5","4","4",NA,"2","6","5","6","5","5","5","2","6","1","5","2","1","2","4","5","2","2","2017-04-19 10:42:31 utc","2017-04-19 11:01:30 utc","11","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"5","755","249463-249456-24482787","1","1","7","12","1984","male","6","9",NA,"1","2","2","4","4","2","5","1","5","4","3","2","4","3","2","4","3","2","3","2","2","1","3","5",NA,"3","3","2","4","4","2","4","4","2","3",NA,"2","4","1","2",NA,"3","3","2","1","1","2","4","2","2","2","3","1","2","1","1","3","1","4","1","2","1","1",NA,"4","4","3","4","3","4","2","4","4","2","3","1","5","4","5",NA,"6","2","4","5","6","3","5","5","6","2",NA,"3","6","1","5","3","5","5","2017-07-05 18:12:34 utc","2017-07-05 19:04:29 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","523","160375-160369-12062467","1","1","29","12","1994","female","6","6",NA,"3","4","4","2","3","2","3","3","5","1","3","3","4","2","3","3","3","4","2","3","4","3","3","3",NA,"2","3","3","4","4","2","3","3","2","2",NA,"2","1","1","1",NA,"2","1","2","2","1","3","2","3","2","3","2","1","2","2","2","2","2","3","2","2","1","1",NA,"3","4","3","3","4","2","2","5","3","4","2","2","4","3","4",NA,"5","4","3","2","4","2","5","4","4","2","2","5","3","4","4","4","4","4","2016-02-22 10:02:11 utc","2016-02-22 10:23:39 utc","179190-179183-12516723","29","12","1994","female","5","7",NA,"4","4","4","3","2","3","4","2","4","2","2","3","4","3","3","4","3","5","3","3","4","3","3","3",NA,"3","3","3","4","3","3","4","3","3","3",NA,"2","1","1","2",NA,"2","1","2","2","2","2","1","2","2","1","1","1","3","2","2","2","2","3","2","2","1","2",NA,"4","2","3","4","3","4","4","5","3","4","2","2","4","3","4",NA,"5","4","4","2","4","3","5","4","4","2","2","5","5","4","4","5","4","4","2016-03-08 19:02:08 utc","2016-03-08 19:18:17 utc","2","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"7","176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"179190-179183-21285119","8","3","1973","female","3","4",NA,"5","5","5","1","1","5","1","1","5","5","2","2","5","1","4","5","3","4","1","4","5","2","2","1",NA,"2","1","2","5","4","2","4","5","2","1",NA,"1","1","1","1",NA,"1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","2","1","1","1","1","1","1","1","1","1","1",NA,"5","1","5","2","6","1","6","6","6","1","1","5","5","1","5","2","3","5","2017-03-13 16:10:45 utc","2017-03-13 16:24:54 utc","13","world","2","2","6","6","yes","6","yes","6","yes","5","yes","6","yes","5","yes","7","yes","7","yes","5","yes"
"8","565","160375-160369-24431464","1","1","24","12","1994","female","1","3",NA,"3","4","3","3","4","3","2","4","2","3","3","4","2","3","3","4","4","2","3","2","2","5","5","3",NA,"3","4","4","2","3","4","3","2","3","4",NA,"2","1","1","2",NA,"3","3","3","3","2","3","3","2","3","2","2","1","3","2","2","3","2","3","3","2","1","2",NA,"3","4","4","4","4","3","4","5","4","4","4","4","4","4","4",NA,"4","4","4","2","4","5","2","4","4","4","5","2","2","4","4","4","3","4","2017-07-03 16:20:47 utc","2017-07-03 16:32:56 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","mental","3","3",NA,"7","no",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"9","887","160375-160369-17998072","1","1","21","4","1995","female","6","3",NA,"3","3","2","4","4","2","5","4","1","4","3","4","1","4","3","2","4","2","4","4","2","1","2","4",NA,"5","5","5","2","2","5","2","2","5","5",NA,"4","4","4","3",NA,"4","2","2","3","4","3","4","2","3","4","2","1","4","3","4","4","4","4","2","3","1","4",NA,"4","5","5","5","4","5","4","4","4","5","5","5","4","4","3",NA,"2","5","2","4","1","2","2","2","1","5","6","4","2","4","1","6","2","3","2016-11-20 19:43:50 utc","2016-11-20 22:18:26 utc","179190-179183-19965812","21","4","1995","female","6","4",NA,"3","4","3","2","2","3","3","2","4","3","3","2","4","2","3","4","2","3","2","4","3","2","2","2",NA,"3","2","3","3","3","2","2","3","3","3",NA,"2","1","1","1",NA,"2","1","1","2","1","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","1",NA,"2","3","2","2","2","2","2","2","3","2","2","1","4","3","3",NA,"4","4","4","4","3","4","3","3","3","3","4","4","3","4","3","5","3","3","2017-02-07 17:44:57 utc","2017-02-07 18:01:23 utc","7","mind","2","3","5","5","yes","8","yes","3","yes","4","yes","4","yes","6","yes","5","no","7","yes","7","yes"
"10","575","160375-160369-18715145","1","1","5","8","1992","male","8","10",NA,"4","3","3","3","2","4","4","3","4","2","1","3","4","2","2","4","2","1","3","5","3","3","3","1",NA,"3","3","3","4","2","1","5","3","3","1",NA,"2","1","2","1",NA,"2","1","1","3","1","1","3","1","1","2","1","1","1","1","1","1","1","3","1","3","2","1",NA,"1","4","2","1","4","1","1","1","2","1","1","1","1","4","2",NA,"3","2","5","4","4","1","2","5","6","2","2","2","2","3","4","4","3","5","2016-12-15 14:28:32 utc","2016-12-15 14:55:19 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
