"","X.1","X","Participant.email","Condition","X1a","X1b","X1c","X2a","X2b","X3a","X3b","X4a","X4b","X5a","X5b","X6a","X6b","X7a","X7b","X8a","X8b","X9a","X9b","X10a","X10b"
"1",1,1,"DUOFVIXITDCH7UCV0HNA","mental states",1,-4,6,7,"YES",9,"NO",10,"YES",7,"YES",4,"YES",6,"NO",7,"NO",7,"NO",4,"YES"
"2",2,2,"U3KM88I2N4NTB3E2536M","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"3",3,3,"MVECFCJ19NEYCWVI29YD","world",3,3,5,2,"NO",5,"NO",5,"NO",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"4",4,4,"Q166QLA6768YR1EF8DK6","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"5",5,5,"BKPZ0OMIN7GVCYDR2O4C","mental states",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"6",6,6,"E5YQJ684JFBXJHXYJ0LH","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"7",7,7,"ZVJXXEZKYGB9C7PEFKJG","world",2,5,6,7,"NO",7.5,"NO",7.5,"NO",5,"NO",4,"NO",6,"NO",7.5,"NO",6,"NO",7.5,"NO"
"8",8,8,"RCXGYGHYI960YO8A747L","world",3,2,2,1,"YES",3,"YES",5,"YES",4,"NO",3,"YES",NA,"",NA,"",NA,"",NA,""
"9",9,9,"DRF4AIXCNL53OURXAE61","world",2,0,3,3,"NO",4,"NO",0.5,"NO",4,"no",5,"NO",5,"NO",5,"NO",4,"NO",5,"NO"
"10",10,10,"EZZMRV9QWIJXLZJ11S7L","world",1,1,7,5,"NO",5,"NO",4,"NO",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"11",11,11,"N02RZB0LF46BXSX6VWQ8","mental states",2,3,7,8,"YES",5,"NO",2,"YES",2,"YES",4,"YES",2,"NO ",5,"YES",8,"YES",4,"NO"
"12",12,12,"AGNV31IAMXEP18DA78AZ","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"13",13,13,"GJ30T2MFSABC9JU1QVOW","world",2,2,7,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"14",14,14,"XX24NQ6Z7DFOWACVVY2F","mental states",3,3,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"15",15,15,"JPQB80QYFGR0PNDU8RRU","mental states",0,0,9,5,"NO",9,"NO",5,"NO",8,"NO",5,"NO",9,"NO",9,"NO",3,"NO",5,"NO"
"16",16,16,"XFZZ80YHAI8WUOBZ9PCB","mental states",1,1,6,8,"NO",7,"YES ",6,"NO",6,"YES",6,"YES",9,"YES",8,"YES",6,"YES",7,"YES"
"17",17,17,"6DL4MS0HPNS8T38OTHGJ","mental states",3,5,5,3,"NO",7,"NO",5,"NO",8,"NO",7.5,"YES",9,"NO ",6,"NO",5,"NO",6,"NO"
"18",18,18,"S25I949Q68MU965FETLT","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"19",19,19,"3F3KC101JP8PIHW78HOX","world",1,1,9,2,"YES",2,"YES ",4,"YES",4,"YES",5,"YES",6,"YES",6,"YES",6,"YES",5,"YES"
"20",20,20,"BWSFSIP2K7X09ZINVCAK","mental states",0,1,4,5,"NO",5,"NO",4,"NO",6,"NO",4,"NO",4,"NO",5,"NO",5,"NO",4,"NO"
"21",21,21,"AF67QDJVLUR1LAAT6002","world",5,3,3,2,"NO",1,"NO",3,"YES",4,"YES",4,"YES",4,"NO ",4,"YES",4,"YES",4,"YES"
"22",22,22,"V0M5KXPER6IZQZ88GU7X","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"23",23,23,"T536D7BXFNGKQI48CBNL","mental states",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"24",24,24,"310JTY3L0ZXRAYD4PFAD","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"25",25,25,"U66K12S70XWXE1K8CXY8","mental states",0,2,7,9,"NO",7,"YES",6,"YES",8,"YES",8,"NO",7,"YES",8,"YES",5,"YES",6,"YES"
"26",26,26,"TSUXXZGQGZZT1JMX32WP","world",2,2,8,7,"YES",6,"YES",5,"YES",6,"YES",5,"YES",9,"YES",8,"YES",8,"YES",8,"YES"
"27",27,27,"HWGVWX2LXOI25UAFUCOI","mental states",5,5,6,6,"YES",8,"YES",4,"YES",9,"YES",7.5,"YES",6,"YES",5,"YES",7.5,"YES",8,"YES"
"28",28,28,"VGXY7WOER5R3303M1PAJ","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"29",29,29,"AF67QDJVLUR1LAAT6002","world",5,3,3,2,"NO",1,"NO",3,"YES",4,"YES",4,"YES",4,"NO ",4,"YES",4,"YES",4,"YES"
"30",30,30,"TSUXXZGQGZZT1JMX32WP","world",2,2,8,7,"YES",6,"YES",5,"YES",6,"YES",5,"YES",9,"YES",8,"YES",8,"YES",8,"YES"
"31",31,31,"ZVJXXEZKYGB9C7PEFKJG","world",2,5,6,7,"NO",7.5,"NO",7.5,"NO",5,"NO",4,"NO",6,"NO",7.5,"NO",6,"NO",7.5,"NO"
