"","X.1","X","Participant.email","Condition","X1a","X1b","X1c","X2a","X2b","X3a","X3b","X4a","X4b","X5a","X5b","X6a","X6b","X7a","X7b","X8a","X8b","X9a","X9b","X10a","X10b"
"1",1,1,"QATISFRRU4KQSH3L55C8","World",1,-2,8,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"2",2,2,"PG7WVDMUZW6ZD0ZQXESQ","Mind",2,2,7,7,"Yes",5,"Yes",7,"No",5,"Yes",8,"Yes",7,"No",6,"Yes",6,"Yes",5,"Yes"
"3",3,3,"D4UHSJBATAQD84VAME7Q","World",2,2,7,5,"Yes",6,"No",6,"Yes",3,"Yes",7,"No",5,"No",7,"No",7,"No",5,"No"
"4",4,4,"7R2ZPP1QP5D3D2RZMLZF","Mind",5,3,5,4,"Yes",6,"Yes",4,"Yes",7,"No",5,"Yes",7,"Yes",6,"Yes",5,"Yes",8,"Yes"
"5",5,5,"XNDXSC55Z82TT8JEPVS8","World",2,2,5,3,"Yes",8,"Yes",2,"Yes",1,"No",3,"Yes",7,"Yes",7,"Yes",6,"Yes",6,"Yes"
"6",6,6,"27WJYSSV47UGSHDUW80L","World",-1,2,4,2,"Yes",7,"Yes",6,"No",6,"Yes",8,"No",6,"No",5,"Yes",5,"No",4,"No"
"7",7,7,"B2Q8RO7A7ZKFHHD7S8V1","Mind",2,3,5,5,"Yes",8,"Yes",3,"Yes",4,"Yes",4,"Yes",6,"Yes",5,"No",7,"Yes",7,"Yes"
"8",8,8,"BCYSGSDCAXZ3GUCJM3CB","mental",2,1,8,6,"Yes",3,"No",3,"No",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"9",9,9,"NLVFDE02RRC0Z20DU7O4","Mind",4,2,7,4,"Yes",2,"No",7,"No",5,"Yes",5,"No",5,"No",5,"Yes",3,"No",8,"No"
"10",10,10,"LH1AVP898S48IRQ9NNU8","Mind",0,2,9,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"11",11,11,"W2OIWAZE008L61K0DMNI","World",3,3,4,5,"No",5,"Yes",6,"Yes",6,"Yes",7,"No",5,"Yes",7,"No",6,"Yes",7,"Yes"
"12",12,12,"F5PJXULQI3VBKWMCTW9O","Mind",2,2,8,6,"No",6,"Yes",5,"No",0.5,"Yes",6,"No ",2,"No",3,"No",2,"No",1.5,"No"
"13",13,13,"RZFA5G5EOGX0HGVNDJH4","World",2,2,6,6,"Yes",6,"Yes",6,"Yes",5,"Yes",6,"Yes",5,"Yes",7,"Yes",7,"Yes",5,"Yes"
"14",14,14,"ERUTR59OY60LNGV370S3","Mind",4,2,6,7,"No",7.5,"Yes",5,"Yes",4,"No",6,"No",6,"No",7.5,"No",8,"Yes",5,"No"
