"","X.1","X","Participant.email","Condition","X1a","X1b","X1c","X2a","X2b","X3a","X3b","X4a","X4b","X5a","X5b","X6a","X6b","X7a","X7b","X8a","X8b","X9a","X9b","X10a","X10b"
"1",1,1,"58UBAXP563Q6PHWFN7CP","world",0,1,7,5,"Yes",7,"No",6,"Yes",5,"Yes",6,"Yes",5,"Yes",6,"Yes",5,"Yes",4,"Yes"
"2",2,2,"87SFP6T3PCQUBP9PFCVC","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"3",3,3,"PZXDSL1HGM394GYAURY2","mental",4,4,7,8,"Yes",6,"Yes",8,"Yes",7,"Yes",8,"Yes",7,"Yes",8,"Yes",7,"Yes",9,"Yes"
"4",4,4,"DRS1BVL6DIHM3YYLPO07","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"5",5,5,"L0BRR26DYQTMUBZASO2C","mental",4,3,4,10,"No",0,"No",0,"No",0,"No",0,"No",0,"Yes",0,"Yes",0,"Yes",NA,""
"6",6,6,"IJFZS6PM9237VFU2JK2K","world",2,3,6,2,"No",4,"Yes",5,"No",3,"No",4,"No",3,"No",6,"No",5,"Yes",6,"No"
"7",7,7,"NE4VEMQGQPY7C56OPXQY","world",-2,3,7,8,"Yes",5,"Yes",6,"No",2,"Yes",3,"Yes",3,"Yes",3,"No",2,"Yes",2,"Yes"
"8",8,8,"A3YHXAEC88FD4B5MPP0Y","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"9",9,9,"FR2K9UXB9TVJOF0IJ1QA","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"10",10,10,"9ED3MESHSTP1OLX63QGD","world",2,1,0,1,"No",2,"No",2,"No",2.5,"No",1,"No",1.5,"No",3,"No",3,"No",4,"No"
"11",11,11,"CM58SNHR375YSDDQP4SP","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"12",12,12,"NACOAJAMWZ1FGFDIK55B","mental",4,3,8.5,7,"Yes",1.5,"Yes",5,"No",6,"Yes",3,"No",7,"Yes",2,"No",4,"Yes",7,"No"
"13",13,13,"NSREVK4SWI7OEF9WOXBE","mental",3,1,7.5,9.5,"Yes",8,"No",7,"Yes",6,"Yes",9,"No",8.5,"Yes",7,"Yes",9,"No",9,"No"
"14",14,14,"JUFL71RJZ9OVEGYI7QVS","world",3,1,7,5,"Yes",4,"Yes",9,"Yes",2,"Yes",5,"Yes",9,"Yes",7,"Yes",5,"Yes",2,"Yes"
"15",15,15,"DGD2D1NO38VR0MMQZ02M","mental",1,1,10,9,"Yes",6,"Yes",3,"Yes",2,"Yes",7,"Yes",7,"Yes",6,"Yes",5,"Yes",5,"Yes"
"16",16,16,"MRUUW0J52NNEO3HZGU17","",3,2,6,7,"Yes",7,"No",8,"Yes",9,"Yes",8,"No",NA,"",NA,"",NA,"",NA,""
"17",17,17,"TEGDILDFPSQJV8OXW5LI","mental",-1,1,8,0,"Yes",10,"Yes",5,"Yes",7,"Yes",NA,"",NA,"",NA,"",NA,"",NA,""
"18",18,18,"N9IUX8FBE4LTTPOR1FR1","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"19",19,19,"SZYZKC095YKWCIGYQ8JF","",4,3,8,7,"Yes",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"20",20,20,"6DWWT1P8A5UVKRHA7LZD","",1,0,7,3,"Yes",4,"Yes",9,"Yes",9,"Yes",2.5,"Yes",3,"Yes",8.5,"Yes",7.5,"No",NA,""
"21",21,21,"OXWBU87V22EGBRMPSPF0","",2,0,9,7,"Yes",5,"Yes",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"22",22,22,"K4QIPJKP0JE9DEYIRXGL","",2,1,6,4,"No",3,"No",6,"No",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"23",23,23,"CTTOXRG4KAZ67Q21HAL8","",2,3,2,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
