"","X.1","X","Participant.email","Condition","X1a","X1b","X1c","X2a","X2b","X3a","X3b","X4a","X4b","X5a","X5b","X6a","X6b","X7a","X7b","X8a","X8b","X9a","X9b","X10a","X10b"
"1",1,1,"3OXK43YJEM69LW2A5SXZ","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"2",2,2,"4JAD8FWAUBNXKRWWOUTB","world",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"3",3,3,"2L6H16KXN7ZN0IDAFTCE","mind",4,3,4,4,"no",3,"no",5,"no",3,"no",4,"yes",5,"no",5,"yes",4,"yes",2,"yes"
"4",4,4,"67CLMDTFXMFTFAIKI5ZO","mind",1,1,6,5,"no",7,"yes",3,"yes",7,"no",3,"no",4,"no",6,"no",6,"no",7,"no"
"5",5,5,"H2ZQQ5CDUPY29MG5SAC5","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"6",6,6,"XMWZV6CFJ7113M7M6ETV","world",1,0,7,3,"no",2,"no",2,"yes",5,"yes",2,"no",1,"no",4,"yes",4,"yes",4,"yes"
"7",7,7,"EEZUIKR7F3YXWZCR7FDI","mind",-2,-2,9,7,"yes",6,"no",1,"yes",1,"yes",9,"no",7,"yes",7,"yes",8,"yes",7,"yes"
"8",8,8,"LBBY5A195EU2J480XJ33","world",1,1,5,6,"yes",6,"yes",5,"yes",3,"yes",7,"yes",8,"no",8,"yes",7,"yes",8,"yes"
"9",9,9,"IGJHX6M9CZ44BV5E3OGU","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"10",10,10,"Q9T9C49CHODWHCNORWOW","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"11",11,11,"VX4PVWXQTGP7336M3H5U","world",3,3,5,3,"yes",7,"yes",5,"yes",0,"yes",0,"yes",5,"yes",1,"yes",9,"yes",7,"yes"
"12",12,12,"8UABYCJ2D73KHSQZ8DWA","mind",1,1,8,2,"no",6,"no",2,"no",6,"no",4,"no",4,"no",2,"no",2,"no",3,"no"
"13",13,13,"15K0IUZ116LY73YKF4WP","mind",2,0,6,5,"yes",8,"yes",9,"yes",8,"yes",9,"yes",9,"yes",10,"yes",10,"yes",10,"yes"
"14",14,14,"U2QFR9IDGPPP629XXFUW","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"15",15,15,"9ZTWXOVT83IBPVHETE4B","mind",3,3,6,5,"yes",1,"no",1,"yes",10,"yes",7,"no",1,"no",1,"yes",1,"yes",10,"yes"
"16",16,16,"OJ7J3O7Z1CWM77BCYLTW","world",2,0,7,8,"no",5,"yes",7,"yes",7,"yes",NA,"",NA,"",NA,"",NA,"",NA,""
"17",17,17,"NEPYX5FIXL01ASG7FRQ5","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"18",18,18,"KHTYCCK5I8P83L0WWKTM","world",5,5,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"19",19,19,"A0BH48P6OG8KBVT4IRWO","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"20",20,20,"HB466DS3Y896K0G8YSEY","mind",5,5,6,1,"yes",0,"yes",4,"no",2,"no",3,"yes",1,"yes",6,"no",5,"no",6,"no"
"21",21,21,"HELCRZXQKL7NCMQ2OV6O","world",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"22",22,22,"ZCUFR04TLVJXUBIB3PMI","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"23",23,23,"","mind",1,0,10,10,"no",7,"no",6,"no",6,"no",7,"no",5,"no",8,"no",6,"no",4,"no"
