"","X.1","X","Participant.email","Condition","X1a","X1b","X1c","X2a","X2b","X3a","X3b","X4a","X4b","X5a","X5b","X6a","X6b","X7a","X7b","X8a","X8b","X9a","X9b","X10a","X10b"
"1",1,1,"3C7HZS8XILHEOWG6I1M9","World",1,2,5,3,"no",2,"no",2,"no",1,"no",1,"no",1,"no",2,"no",NA,"",NA,""
"2",2,2,"75178J7VE8PL910EAF90","Mental",2,0,6,6.5,"yes",7,"no",7.5,"yes",4.5,"yes",3.5,"yes",6,"no",4.5,"yes",7.5,"no",4.5,"no"
"3",3,3,"VK9S6CM7GN2XDDFNZT27","Mental",2,1,5,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"4",4,4,"UE4SKBGW3B4FOQZUSTR2","World",2,1,8,7,"yes",6,"yes",8,"yes",9,"yes",9,"yes",8,"no",7.5,"yes",4,"yes",5,"yes"
"5",5,5,"PNLP80B7GDUWKKBUHOU5","world",2,1,7,4.5,"no",6,"no",7,"no",6.5,"no",7.5,"no",7,"no",7.5,"no",6.5,"no",8,"no"
"6",6,6,"ZZXPVB8OJIW1RUP9WSQH","mental",-1,0,4,4,"yes",5,"yes",5,"yes",5,"-",6,"yes",3,"yes",2,"yes",2.5,"yes",2,"yes"
"7",7,7,"GG0T4XH74XVOE6M1QHBP","Mental",3,3,NA,7,"no",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"8",8,8,"QHS5A2ZJUQ4EJ7Y8BO8S","World",2,2,3.3,5,"yes",5,"no",8,"yes",6,"no",8,"yes",1,"yes",2,"n/a",8,"no",7,"yes"
"9",9,9,"KE3ME6U4YZ8I1WTH7VVT","Control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"10",10,10,"GS8CK06D3CJ669Q36MCP","Control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"11",11,11,"4UUDMFB1EBNB36SUIXJX","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
