"","X.1","X","Participant.email","Condition","X1a","X1b","X1c","X2a","X2b","X3a","X3b","X4a","X4b","X5a","X5b","X6a","X6b","X7a","X7b","X8a","X8b","X9a","X9b","X10a","X10b"
"1",1,1,"VZQ3P6P12V371N72LF53","Mental",4,4,90,60,"no",60,"yes",80,"yes",20,"yes",60,"yes",50,"yes",90,"yes",60,"yes",60,"yes"
"2",2,2,"VPJE1V3OBBJNR21D00TN","World",2,2,75,10,"yes",50,"no",30,"no",20,"yes",20,"no",40,"yes",10,"yes",5,"yes",5,"yes"
"3",3,3,"1GC9GZRHQYLNPG5KUZCJ","Mental",0,0,90,30,"no",20,"no",50,"no",70,"no",20,"no",50,"no",15,"no",20,"no",20,"no"
"4",4,4,"X6UL3NK0W7RN71DAJC2N","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,"HWOYHRJ89SRW69U77L1G","World",2,1,75,30,"no",20,"no",35,"no",60,"no",60,"no",50,"no",40,"no",60,"no",50,"yes"
"6",6,6,"KKOO01ZIQM0W08W9O628","World",1,0,85,32,"yes",40,"no",90,"yes",48,"yes",48,"no",80,"yes",100,"yes",54,"no",72,"yes"
"7",7,7,"FQZKIBZ6MQCFH6QAUXNI","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,"0EISFSORF1X3SUXB4ZBW","Mental",1,2,90,90,"yes",60,"yes",65,"yes",55,"yes",70,"yes",50,"yes",70,"yes",60,"yes",50,"yes"
"9",9,9,"7F6G8TIJW3RY68ZVQDJ4","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,"1OOH9P0GJ6UVO0C5JXUZ","World",2,1,50,5,"yes",3.3,"no",7.5,"yes",10,"no",10,"no",10,"yes",15,"no",20,"yes",30,"no"
"11",11,11,"6E2HHVP7SG2QQAPSTJTV","Mental",3,3,50,40,"yes",50,"no",0,"no",50,"no",50,"no",66.7,"no",25,"no",50,"no",0,"no"
"12",12,12,"PUCE0UVX9OQSCWMM0G70","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,13,"HZ9LL6OJV910FZK8SH2L","Control",2,2,65,30,"yes",30,"yes",30,"no",60,"no",70,"no",20,"yes",60,"yes",55,"no",40,"no"
"14",14,14,"8U32BVY0AD22VXNQ31CU","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,15,"AOEHC7TXMMUYYGSUYS4E","Mental",4,2,100,80,"no",60,"no",60,"no",50,"no",50,"no",50,"no",60,"no",60,"no",50,"no"
"16",16,16,"L6A4GKZ5H9L4OOD8Y0OH","World",4,1,100,60,"no",50,"yes",80,"no",40,"no",60,"yes",45,"no",40,"no",70,"yes",80,"no"
