"","dp","c","dp2","c2","d1","c1","H_meta_d","H_M_ratio","ln_M_ratio","n_breath","acc","ID","time"
"10112",4.11959327617096,0.414943011134006,2.26018899132938,-1.13009449566469,4.64876611799504,0.38645154814469,5.2559791360625,1.13061810438623,0.122764478209063,166,1,"10112","pre"
"11618",0.667877952231638,0.938524322699056,3.25688020152266,-0.182336507843152,0.610131322595879,0.979555411494021,0.975171362985115,1.59829749247445,0.468938995520849,194,0.1,"11618","pre"
"11845",2.07558092624693,0.607063163828008,1.41511374895322,-1.20995909784997,2.13494041765498,0.609618277814996,3.74947214995785,1.75624205666417,0.563176331193844,154,0.647058823529412,"11845","pre"
"12680",1.2815515655446,0.6407757827723,1.71092313968987,-0.180971819648854,1.41218757890616,0.706093789453082,1.14516581849147,0.81091622359296,-0.209590530334536,20,0.5,"12680","pre"
"12910",2.78094350992178,0.37039552217469,-0.0930433565396335,-0.973554554516385,2.86547662847978,0.352418973424931,2.85936770693003,0.997868095838219,-0.002134179904477,252,0.724137931034483,"12910","pre"
"13549",2.19557353680245,0.549264485703125,0.675600247646375,-1.10250979760957,2.24241039428028,0.546095915861704,3.38267806718853,1.5085008862859,0.41111636714475,241,0.615384615384615,"13549","post"
"14132",2.86963806188372,0.467397464840157,3.04306082304795,-0.955581589591111,3.00602726800607,0.453882236039063,4.60830636091183,1.53302214186785,0.427241043273859,154,0.823529411764706,"14132","pre"
"16005",2.94308621663722,0.504121542216911,2.96523724455297,-0.808128872080402,3.18716475833676,0.496778817074865,4.09534718465368,1.2849499461681,0.250719765190153,91,0.9,"16005","pre"
"16308",1.80257905056437,0.671405407702954,3.19030808355524,-0.558720652283833,1.83425921190908,0.676089212068512,1.92563898167423,1.04981835128419,0.0486171504264601,208,0.545454545454545,"16308","pre"
"17091",2.51905370605488,0.417905619454527,2.64635761093649,-0.531540197724868,2.59905781901721,0.400094001841369,2.1131221236562,0.813033903360889,-0.206982468752903,230,0.625,"17091","pre"
"17208",1.71227886484006,0.425412133124572,1.33517773611894,-0.667588868059468,2.26770856821913,0.459364533913484,3.11017721588932,1.37150657693717,0.315909826817615,9,1,"17208","pre"
"17298",1.71227886484006,0.425412133124572,1.33517773611894,-0.667588868059468,2.26770856821913,0.459364533913484,3.11017721588932,1.37150657693717,0.315909826817615,9,1,"17298","post"
"18284",2.08959300200413,0.614069201706607,4.01577501333879,-0.189241913819333,2.11570132663111,0.613989351389307,1.50346106200697,0.710620654759891,-0.341616529169888,382,0.58974358974359,"18284","pre"
"18933",2.74632813172965,0.531542832291909,3.52166258334148,-0.540190942823392,2.84732119090788,0.524225687786704,2.87543942027903,1.00987532753977,0.00982688515462796,192,0.789473684210526,"18933","pre"
"19894",1.61466369057783,1.23805914458437,2.47611828916874,-0.807331845288915,1.63650158806134,1.49274054422675,2.56260017844556,1.56590143091845,0.448461652368223,48,NA,"19894","post"
"20181",1.69945069605398,0.596378244891188,0.246333226172297,-0.79765636328223,1.89308432918142,0.627902800626334,2.40216288854556,1.26891488747586,0.238162115935925,28,0.666666666666667,"20181","pre"
"22528",2.65766171981628,0.487209626335226,2.44609025494235,-0.698644614763133,2.75193887514083,0.476534529903184,3.12438599530776,1.13533989563916,0.126932073625411,189,0.75,"22528","pre"
"22837",3.03708403422141,0.515394049448173,2.0579892669984,-1.45972193279466,3.19124530477168,0.510297744309079,5.33922183788317,1.6730841185727,0.514668700820002,158,0.882352941176471,"22837","pre"
"23240",3.05691036448759,0.508378949457594,2.74831828469281,-0.699669392150321,3.30004944472048,0.49967534198423,3.56994384784309,1.08178495736008,0.0786124151635386,105,0.909090909090909,"23240","post"
"23626",4.06058768430571,0.423538773183612,3.40471461214605,-1.02786755587695,4.28602512536893,0.411348166562219,5.36323268986762,1.25133020292455,0.224207147834488,316,0.971428571428571,"23626","post"
"24100",3.1499593267425,0.354339314523899,3.46733515528069,-0.766246011538645,3.33533049195285,0.315963006045762,4.29049808580921,1.28637869505313,0.251831057624081,163,0.833333333333333,"24100","post"
"24359",1.89011836382985,0.626419817950551,1.67173966776853,-0.487114138367218,1.92179593226832,0.627892867936862,1.96205168988771,1.02094694704233,0.0207305760717743,244,0.538461538461538,"24359","pre"
"24543",0.524400512708041,0.26220025635402,0.318639363964375,-0.159319681982188,0.589455797849779,0.294727898924889,0.613978508980694,1.04160229014689,0.0407601911514849,8,0,"24543","pre"
"26662",0.922416455017255,1.06579357409186,1.33876051869242,-0.595588985537938,0.877906768715821,1.11344313455399,0.611785117192687,0.696867980739676,-0.361159296865564,149,0.2,"26662","pre"
"27036",0.601331748370625,0.300665874185312,2.18743467059242,-0.224293562007325,0.60953682035687,0.304768410178435,1.56335072520334,2.56481753520326,0.941887339719424,86,0.0833333333333333,"27036","pre"
"28334",2.94308621663722,0.504121542216911,2.96523724455297,-0.808128872080402,3.18716475833676,0.496778817074865,4.09534718465368,1.2849499461681,0.250719765190153,91,0.9,"28334","post"
"28335",1.71227886484006,0.425412133124572,1.33517773611894,-0.667588868059468,2.26770856821913,0.459364533913484,3.11017721588932,1.37150657693717,0.315909826817615,9,1,"28335","pre"
"28985",3.09482546377351,0.450609169793239,1.66766659470612,-0.653820927560357,3.23114183832018,0.435809801548229,2.9357423341761,0.908577364001561,-0.0958752390185005,193,0.857142857142857,"28985","post"
"29633",1.71227886484006,0.425412133124572,1.33517773611894,-0.667588868059468,2.26770856821913,0.459364533913484,3.11017721588932,1.37150657693717,0.315909826817615,9,1,"29633","pre"
"29812",1.91560873621325,0.116183134533709,-0.19341865225124,-0.744911907447294,2.24081019820755,-0.0299442812722335,1.61743172720992,0.721806661047742,-0.325997958431794,100,0.1875,"29812","pre"
"30688",1.45768446378153,0.728842231890763,0.833121210671278,-0.698776752398147,1.48070151017474,0.740350755087371,1.95838529761478,1.32260640254474,0.279604337124327,150,0.4375,"30688","pre"
"31134",0.658625842334513,0.952238644377344,2.1253790071988,-0.663366436249849,0.619900298408232,0.984439899400197,1.43079595284841,2.3081065721736,0.836427522698358,191,0.15,"31134","pre"
"31523",1.65136764814281,0.394956524775946,0.789913049551892,-0.825683824071403,2.02619199012674,0.33860624486729,2.77359989361896,1.36887319026736,0.313987912554547,17,0.5,"31523","post"
