"","Waitlist Pre","Waitlist Post","World Pre","World Post","Mental Pre","Mental Post"
"TMS-D","1.59 (0.31)","1.44 (0.23)","1.43 (0.25)","1.91 (0.2)","1.43 (0.13)","2.29 (0.35)"
"Observe 1st","3.41 (0.13)","3.05 (0.11)","3.08 (0.25)","3.64 (0.18)","3.29 (0.15)","3.26 (0.23)"
"Observe 2nd","2.84 (0.23)","2.46 (0.31)","2.92 (0.2)","3.51 (0.17)","3.19 (0.19)","3.07 (0.24)"
"PHQ-8","1.4 (0.27)","1.14 (0.27)","1.18 (0.19)","0.86 (0.24)","2.13 (0.24)","0.96 (0.26)"
"GAD-7","2.3 (0.35)","1.83 (0.27)","2.52 (0.32)","2.17 (0.31)","2.45 (0.32)","2.07 (0.4)"
"RRS","2.33 (0.25)","2.05 (0.21)","2.3 (0.21)","2.09 (0.17)","2.85 (0.24)","2.44 (0.33)"
"WBSI","3.64 (0.25)","3.47 (0.23)","3.71 (0.24)","3.45 (0.2)","4 (0.2)","3.71 (0.03)"
"Accuracy","0.8 (0.06)","0.82 (0.06)","0.67 (0.09)","0.77 (0.05)","0.89 (0.06)","0.92 (0.05)"
"d'","2.49 (0.25)","2.66 (0.3)","2.07 (0.3)","2.42 (0.17)","2.26 (0.22)","2.39 (0.31)"
"HM-ratio","1.07 (0.11)","1.2 (0.07)","1.48 (0.27)","1.16 (0.09)","1.36 (0.04)","1.3 (0.04)"
