"","Control Pre","Control Post","Mental Pre","Mental Post","World Pre","World Post"
"TMS-D","1.56 (0.12)","1.5 (0.13)","1.68 (0.13)","1.79 (0.13)","1.34 (0.12)","1.93 (0.16)"
"Observe 1st","3.28 (0.12)","3.37 (0.13)","3.18 (0.15)","3.11 (0.18)","3.43 (0.13)","3.47 (0.15)"
"Observe 2nd","3 (0.11)","3.02 (0.13)","2.79 (0.16)","2.84 (0.19)","3.18 (0.15)","3.31 (0.14)"
"PHQ-8","1.31 (0.17)","1.33 (0.16)","1.29 (0.15)","0.76 (0.1)","1.28 (0.14)","1.04 (0.15)"
"GAD-7","2.49 (0.13)","2.42 (0.15)","2.38 (0.13)","2.19 (0.18)","2.3 (0.16)","2.21 (0.17)"
"RRS","2.3 (0.13)","2.36 (0.14)","2.46 (0.13)","2.2 (0.13)","2.44 (0.14)","2.09 (0.13)"
"WBSI","3.5 (0.16)","3.5 (0.17)","3.67 (0.16)","3.44 (0.16)","3.74 (0.12)","3.28 (0.15)"
"Accuracy","0.82 (0.03)","0.76 (0.04)","0.71 (0.05)","0.74 (0.05)","0.77 (0.03)","0.74 (0.04)"
"d'","0.73 (0.08)","0.69 (0.11)","0.72 (0.14)","0.67 (0.09)","0.61 (0.08)","0.64 (0.09)"
"Type-2 d' (rs)","1.08 (0.21)","0.82 (0.14)","0.79 (0.15)","0.75 (0.21)","1.06 (0.14)","1.09 (0.2)"
"HM-ratio","1.78 (0.29)","1.94 (0.4)","0.8 (0.33)","1.35 (0.27)","2.49 (0.37)","2.07 (0.44)"
