"","H1","MS-World Mean","MS-World BF","MS-World RR","World-Waitlist Mean","World-Waitlist BF","World-Waitlist RR","MS-Waitlist Mean","MS-Waitlist BF","MS-Waitlist RR"
"TMS-D","0.2","-0.48 (0.23)","0.34","[0, 0.2]","0.64 (0.21)","10.83","[0.1, >5]","0.16 (0.2)","1.19","[0, 1.26]"
"Observe 1st","0.2","-0.11 (0.19)","0.51","[0, 0.34]","-0.06 (0.15)","0.47","[0, 0.3]","-0.17 (0.18)","0.41","[0, 0.26]"
"Observe 2nd","0.2","-0.08 (0.2)","0.57","[0, 0.41]","0.11 (0.18)","1","[0, 0.91]","0.03 (0.19)","0.75","[0, 0.61]"
"PHQ-8","0.2","-0.29 (0.16)","3.09","[0.19, 0.36]","-0.27 (0.14)","3.69","[0.13, 0.46]","-0.56 (0.12)","984.77","[0.04, >5]"
"GAD-7","0.2","-0.09 (0.21)","0.93","[0, 0.88]","-0.01 (0.19)","0.71","[0, 0.55]","-0.11 (0.18)","1","[0, 0.91]"
"RRS","0.2","0.09 (0.15)","0.42","[0, 0.27]","-0.41 (0.14)","17.21","[0.07, >5]","-0.32 (0.11)","21.06","[0.05, 4.27]"
"WBSI","0.2","0.23 (0.2)","0.41","[0, 0.26]","-0.47 (0.17)","10.36","[0.09, 4.51]","-0.24 (0.18)","1.83","[0, 2.35]"
"Accuracy","0.05","0.06 (0.06)","1.39","[0, 0.49]","0.01 (0.05)","0.79","[0, 0.16]","0.07 (0.05)","1.93","[0, 0.72]"
"Adj. d'","0.16","-0.09 (0.14)","0.46","[0, 0.24]","-0.01 (0.13)","0.6","[0, 0.34]","0.08 (0.15)","0.96","[0, 0.7]"
"Adj. Type-2 d' (rs)","0.2","-0.04 (0.31)","0.79","[0, 0.78]","0.24 (0.31)","1.22","[0, 1.9]","0.31 (0.31)","1.37","[0, 2.53]"
"Adj. meta-d'","0.57","-0.06 (0.31)","0.42","[0, 0.74]","0.23 (0.31)","0.88","[0, 1.83]","0.28 (0.29)","1.06","[0, 2.26]"
"HM-ratio","0.45","1.31 (1.25)","1.28","[0, >5]","-0.42 (1.12)","0.83","[0, 2.35]","0.89 (1.23)","1.16","[0, >5]"
