"","ID","count","sequence","stim","resp","resp_rt","correct","conf","conf_rt","time"
"1","10112",1,1,"up","up",2813.1000000238,TRUE,"2",773.59999996424,"pre"
"2","10112",2,1,"up","up",3318.9000000358,TRUE,"2",942.89999997616,"pre"
"3","10112",3,1,"up","up",3175,TRUE,"2",849,"pre"
"4","10112",4,1,"up","up",3364.6999999881,TRUE,"2",1041,"pre"
"5","10112",5,1,"up","up",3056.9000000358,TRUE,"2",1635.8999999762,"pre"
"6","10112",6,1,"up","up",2825.8999999762,TRUE,"2",1345.9000000358,"pre"
"7","10112",7,1,"up","up",2701.8000000119,TRUE,"2",1495.0999999642,"pre"
"8","10112",8,1,"up","up",2526.9000000358,TRUE,"2",1079,"pre"
"9","10112",9,1,"down","down",3254.6999999881,TRUE,"2",1336.8999999762,"pre"
"10","10112",1,2,"up","up",3877.9000000358,TRUE,"2",1025,"pre"
"11","10112",2,2,"up","up",2663.8999999762,TRUE,"2",993.80000001192,"pre"
"12","10112",3,2,"up","up",2713,TRUE,"2",1229.8999999762,"pre"
"13","10112",4,2,"up","up",2622,TRUE,"2",1291.9000000358,"pre"
"14","10112",5,2,"up","up",3335.7999999523,TRUE,"2",1366.1000000238,"pre"
"15","10112",6,2,"up","up",3375.8000000119,TRUE,"2",889.89999997616,"pre"
"16","10112",7,2,"up","up",3136.9000000358,TRUE,"2",1072,"pre"
"17","10112",8,2,"up","up",3232.8999999762,TRUE,"2",1101.6999999881,"pre"
"18","10112",9,2,"down","down",3511.9000000358,TRUE,"2",1346.8999999762,"pre"
"19","10112",1,3,"up","up",3973,TRUE,"2",1174.8999999762,"pre"
"20","10112",2,3,"up","up",2619,TRUE,"2",1165.8000000119,"pre"
"21","10112",3,3,"up","up",2328,TRUE,"2",865.90000003576,"pre"
"22","10112",4,3,"up","up",2634,TRUE,"2",913.89999997616,"pre"
"23","10112",5,3,"up","up",3532.8999999762,TRUE,"2",1208.1000000238,"pre"
"24","10112",6,3,"up","up",2863.8000000119,TRUE,"2",1248.8999999762,"pre"
"25","10112",7,3,"up","up",2859,TRUE,"2",1006.8000000119,"pre"
"26","10112",8,3,"up","up",2964.1000000238,TRUE,"2",1060.6999999881,"pre"
"27","10112",9,3,"down","down",2770,TRUE,"2",844.89999997616,"pre"
"28","10112",1,4,"up","up",11621.699999988,TRUE,"2",950.5,"pre"
"29","10112",2,4,"up","up",3154.9000000358,TRUE,"2",1046.8999999762,"pre"
"30","10112",3,4,"up","up",7644.6000000238,TRUE,"2",1085.5999999642,"pre"
"31","10112",4,4,"up","up",5482.3000000119,TRUE,"2",1186.3000000119,"pre"
"32","10112",5,4,"up","up",2884.1000000238,TRUE,"2",1251.8999999762,"pre"
"33","10112",6,4,"up","up",5612.3000000119,TRUE,"2",1388.5999999642,"pre"
"34","10112",7,4,"up","up",5145.9000000358,TRUE,"2",1648.3999999762,"pre"
"35","10112",8,4,"up","up",3908.9000000358,TRUE,"2",3845.8999999762,"pre"
"36","10112",9,4,"down","down",5025.8000000119,TRUE,"1",2746.5,"pre"
"38","10112",1,5,"up","up",1544.8999999762,TRUE,"2",1339.9000000358,"pre"
"39","10112",2,5,"up","up",2710,TRUE,"2",4196.0999999642,"pre"
"40","10112",3,5,"up","up",2729.5,TRUE,"2",2959.9000000358,"pre"
"41","10112",4,5,"up","up",2589.8999999762,TRUE,"2",2719.8999999762,"pre"
"42","10112",5,5,"up","up",4311.7000000477,TRUE,"2",2575.3999999762,"pre"
"43","10112",6,5,"up","up",2678,TRUE,"2",2753,"pre"
