"","ID","time","resp","rt","conf","conf_rt","count","sequence","stim","correct"
"1","10306","post","up",4571.89999999106,NA,NA,1,1,"up",TRUE
"2","10306","post","up",4146.40000000596,NA,NA,2,1,"up",TRUE
"3","10306","post","up",3544.59999999404,NA,NA,3,1,"up",TRUE
"4","10306","post","up",4075.29999999702,NA,NA,4,1,"up",TRUE
"5","10306","post","up",3244,NA,NA,5,1,"up",TRUE
"6","10306","post","up",3402.30000001192,NA,NA,6,1,"up",TRUE
"7","10306","post","up",2404.79999999702,NA,NA,7,1,"up",TRUE
"8","10306","post","up",4304.79999999702,2,4793.79999999702,8,1,"up",TRUE
"10","10306","post","down",2468.5,NA,NA,9,1,"down",TRUE
"11","10306","post","up",2698.90000000596,NA,NA,1,2,"up",TRUE
"12","10306","post","up",1803,NA,NA,2,2,"up",TRUE
"13","10306","post","up",4249.5,NA,NA,3,2,"up",TRUE
"14","10306","post","up",4811.5,NA,NA,4,2,"up",TRUE
"15","10306","post","up",4272.89999999106,NA,NA,5,2,"up",TRUE
"16","10306","post","up",4803.30000001192,NA,NA,6,2,"up",TRUE
"17","10306","post","up",4312.39999999106,NA,NA,7,2,"up",TRUE
"18","10306","post","up",4573.40000000596,NA,NA,8,2,"up",TRUE
"19","10306","post","up",3996.29999999702,NA,NA,9,2,"down",FALSE
"20","10306","post","up",3576.29999999702,NA,NA,10,2,"up",TRUE
"21","10306","post","down",4810,2,733.79999999702,11,2,"up",FALSE
"23","10306","post","up",8739.30000001192,NA,NA,1,3,"up",TRUE
"24","10306","post","up",3536.5,NA,NA,2,3,"up",TRUE
"25","10306","post","up",10996.1999999881,NA,NA,3,3,"up",TRUE
"26","10306","post","up",3172.20000000298,NA,NA,4,3,"up",TRUE
"27","10306","post","up",4130.60000000894,NA,NA,5,3,"up",TRUE
"28","10306","post","up",3758.69999998808,NA,NA,6,3,"up",TRUE
"29","10306","post","up",4938.30000001192,NA,NA,7,3,"up",TRUE
"30","10306","post","up",8160.29999999702,NA,NA,8,3,"up",TRUE
"31","10306","post","down",5989.79999999702,2,757.5,9,3,"down",TRUE
"33","10306","post","up",1377,NA,NA,1,4,"up",TRUE
"34","10306","post","up",20667.5,NA,NA,2,4,"up",TRUE
"35","10306","post","up",2365.59999999404,NA,NA,3,4,"up",TRUE
"36","10306","post","down",4232.80000001192,NA,NA,4,4,"up",FALSE
"37","10306","post","up",4875.39999999106,NA,NA,1,5,"up",TRUE
"38","10306","post","up",9364,NA,NA,2,5,"up",TRUE
"39","10306","post","up",24139.1000000089,NA,NA,3,5,"up",TRUE
"40","10306","post","up",7495.89999999106,NA,NA,4,5,"up",TRUE
"41","10306","post","up",4138.90000000596,NA,NA,5,5,"up",TRUE
"42","10306","post","up",4700.89999999106,NA,NA,6,5,"up",TRUE
"43","10306","post","up",30417.700000003,NA,NA,7,5,"up",TRUE
"44","10306","post","up",3560.90000000596,NA,NA,8,5,"up",TRUE
"45","10306","post","up",4337.20000000298,NA,NA,9,5,"down",FALSE
"46","10306","post","up",3149.29999999702,NA,NA,10,5,"up",TRUE
"47","10306","post","up",20401.299999997,NA,NA,11,5,"up",TRUE
"48","10306","post","up",23693.5,NA,NA,12,5,"up",TRUE
"49","10306","post","down",3148.20000000298,2,543.79999999702,13,5,"up",FALSE
"51","10306","post","up",5082.5,NA,NA,1,6,"up",TRUE
"52","10306","post","up",19878.400000006,NA,NA,2,6,"up",TRUE
"53","10306","post","up",19885.1999999881,NA,NA,3,6,"up",TRUE
"54","10306","post","up",6457.90000000596,NA,NA,4,6,"up",TRUE
"55","10306","post","up",12671.599999994,NA,NA,5,6,"up",TRUE
"56","10306","post","up",8864.70000000298,NA,NA,6,6,"up",TRUE
"57","10306","post","up",8492.10000000894,NA,NA,7,6,"up",TRUE
"58","10306","post","up",3623.89999999106,NA,NA,8,6,"up",TRUE
"59","10306","post","up",3568.5,NA,NA,9,6,"down",FALSE
"60","10306","post","down",3757.90000000596,NA,NA,10,6,"up",FALSE
"61","10306","post","reset",1564.59999999404,NA,NA,NA,7,NA,NA
