"","X.1","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","Q1_1"
"1",1,1,"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Firstly, after your last mindfulness practice, did you try being mindful during an activity (e.g. chores or walking)?","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","During the ten minute session, what percentage of time were you focusing on the practice? - % time focused"
"2",2,2,"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID3_1""}"
"3",3,3,"2022-01-29 09:32:52","2022-01-29 09:48:11","0","37.60.109.183","100","918","1","2022-01-29 09:48:11","R_3nqNCVYdY1DVlCv","","","U4X8RPEUFNEHKOTNRTJS","","51.52130126953125","-0.2714996337890625","email","EN","1","0.478","381.78","383.181","2","76"
"4",4,4,"2022-02-01 10:53:22","2022-02-01 11:05:59","0","37.60.109.184","100","756","1","2022-02-01 11:05:59","R_3TPiynm1aoxNOlb","","","QWH4ZYN93GKMS6CJQLWZ","","51.52130126953125","-0.2714996337890625","email","EN","2","9.728","583.943","744.429","2","19"
"5",5,5,"2022-02-03 19:05:46","2022-02-03 19:16:10","0","86.3.228.171","100","624","1","2022-02-03 19:16:11","R_1BQJfU6FmrfsEWh","","","SLCVU5B0UZVQRFWTRNM8","","50.8612060546875","-0.1194000244140625","email","EN","2","0.804","0.804","605.285","1","40"
"6",6,6,"2022-02-04 10:31:30","2022-02-04 10:42:04","0","37.60.109.183","100","634","1","2022-02-04 10:42:05","R_1LZnzBRvZD5h2Et","","","KK8Q7LZOGUZPLPPY1I5E","","51.52130126953125","-0.2714996337890625","email","EN","1","0","0","583.236","0","77"
"7",7,7,"2022-02-05 11:01:25","2022-02-05 11:01:32","0","139.184.223.152","100","7","1","2022-02-05 11:01:33","R_21v3dxcHIZunMaf","","","BO4IVCBE24JV5HXKCBD0","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","0.517","0","82"
"8",8,8,"2022-02-05 11:58:42","2022-02-05 12:09:03","0","94.195.21.21","100","621","1","2022-02-05 12:09:03","R_1lymdtaAFM9uVne","","","ZKJO5F5BNIW64ARQME4Y","","50.8428955078125","-0.1157989501953125","email","EN","1","0.813","0.813","610.32","1","47"
"9",9,9,"2022-02-05 08:58:39","2022-02-05 14:40:37","0","151.226.171.209","100","20517","1","2022-02-05 14:40:37","R_3nf676Y3CkLNxSe","","","K9GVLJLD0XVIPDJ8Z3SW","","50.7891998291015625","0.0823974609375","email","EN","2","0","0","2.598","0","80"
"10",10,10,"2022-02-05 17:11:05","2022-02-05 17:26:20","0","46.31.241.44","100","915","1","2022-02-05 17:26:21","R_1eDATMVheZQYXQo","","","Q36BE54GEO519FRVK9SY","","49.455596923828125","-2.53460693359375","email","EN","1","0","0","665.356","0","86"
"11",11,11,"2022-02-06 11:41:33","2022-02-06 11:41:51","0","37.60.109.183","100","18","1","2022-02-06 11:41:51","R_qxNbQzAEDq2faJX","","","H16FNJST8S1I9X0LMQOW","","51.52130126953125","-0.2714996337890625","email","EN","1","1.009","4.786","7.954","2","91"
"12",12,12,"2022-02-06 15:58:31","2022-02-06 15:58:39","0","31.205.226.15","100","8","1","2022-02-06 15:58:40","R_3Pzdiyiea1OObT7","","","P1109ORDBSUCU4G83GEE","","50.8428955078125","-0.1157989501953125","email","EN","2","0","0","0.267","0","48"
"13",13,13,"2022-02-06 21:51:10","2022-02-06 22:03:20","0","37.60.109.183","100","729","1","2022-02-06 22:03:21","R_2qawTeeTNfnR8C5","","","E07OPOAQZ3IPYTADOKDU","","51.52130126953125","-0.2714996337890625","email","EN","1","3.589","3.589","717.965","1","84"
"14",14,14,"2022-02-08 11:11:07","2022-02-08 11:13:01","0","31.220.216.31","100","113","1","2022-02-08 11:13:02","R_3n0Ljv7x0zg5juT","","","EOGTM82GHVYBX413JUWH","","51.7657012939453125","-1.279693603515625","email","EN","1","0","0","4.945","0","40"
"15",15,15,"2022-02-08 14:00:53","2022-02-08 14:11:20","0","82.27.90.83","100","626","1","2022-02-08 14:11:22","R_1j8JcCFjQ1gvquv","","","QTQRZ1QH22ZOUQGB8DZ8","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","613.683","0","76"
"16",16,16,"2022-02-09 12:54:00","2022-02-09 13:01:31","0","139.184.223.173","100","451","1","2022-02-09 13:01:31","R_d9Xnldt69i9xaEh","","","6PHZU57RCSN3D3VG23UK","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","437.866","0","92"
"17",17,17,"2022-02-11 10:25:55","2022-02-11 10:26:05","0","139.184.223.126","100","10","1","2022-02-11 10:26:06","R_3nCKM5Zl3iPhxl1","","","3ZVRFLJZL9VT4WI9RY9A","","50.8612060546875","-0.1194000244140625","email","EN","1","0.702","1.715","2.303","3","95"
"18",18,18,"2022-02-11 12:10:49","2022-02-11 12:23:14","0","139.184.223.170","100","744","1","2022-02-11 12:23:15","R_2wB94PifQKEUpHv","","","UBR70JAFGJB9FT95IICE","","50.8612060546875","-0.1194000244140625","email","EN","1","1.419","1.419","736.276","1","89"
"19",19,19,"2022-02-14 11:58:15","2022-02-14 12:11:21","0","81.97.236.153","100","785","1","2022-02-14 12:11:21","R_3nIdIOgCgqoafLo","","","V7YMKQU95S8RNSTMCRKQ","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","678.169","0","87"
