Use,Study,Citation,Link,Data,Notes,length,count,error_type,exp_n,con_n,exp_m_pre,exp_err_pre,exp_m_post,exp_err_post,con_m_pre,con_err_pre,con_m_post,con_err_post,int_ForT,exp_m_diff,exp_err_diff,con_m_diff,con_err_diff,int_m_diff,int_se_diff
experimental,rowland_2019,"Rowland, Z., Wenzel, M., & Kubiak, T. (2019). Effects of an Ultra-brief Computer-based Mindfulness Training on Mindfulness and Self-control: A Randomised Controlled Trial Using a 40-Day Ecological Momentary Assessment. Mindfulness, 10(11), 2312–2326. https://doi.org/10.1007/s12671-019-01204-9",https://link.springer.com/article/10.1007/s12671-019-01204-9,https://osf.io/3gsh6/,"RAW DATA AVAILABLE, EMMS from paper listed here but unused. BC training for mindfulness group and WL control. 40 days",18,9,SE,,,92.14,0.77,94.7,0.8,94.84,0.77,94.96,0.79,,,,,,,
experimental,isbel_2020,"Isbel, B., Stefanidis, K., & Summers, M. J. (2020). Assessing mindfulness: Experimental support for the discriminant validity of breath counting as a measure of mindfulness but not self-report questionnaires. Psychological Assessment, 32(12), 1184. https://doi.org/10.1037/pas0000957",https://psycnet.apa.org/fulltext/2020-91861-002.pdf?auth_token=181cb3c5855e9e1253026d605454b683aec3e9b5,,"Accuracy not on count but vs measured breath. Interventions 8 weeks, 20-45 mins/day. CT = computerised attention training (active control). Sig interaction but large SDs.",15,21,SD,53,33,42.24,32.49,64.2,25.27,51.3,34.7,45.96,33.84,9.863,,,,,,
experimental,tortella_2020,"Tortella-Feliu, M., Luís-Reig, J., Gea, J., Cebolla, A., & Soler, J. (2020). An Exploratory Study on the Relations Between Mindfulness and Mindfulness-Based Intervention Outcomes. Mindfulness, 11(11), 2561–2572. https://doi.org/10.1007/s12671-020-01471-x",https://link.springer.com/article/10.1007/s12671-020-01471-x,ITT and PP results in supp; https://link.springer.com/article/10.1007/s12671-020-01471-x/tables/2,8 weeks - length messy. MBSR based. Used PP results here.,15,9,SD,25,24,78.28,20.75,90.62,11.76,75.15,22.04,77.06,12.99,3.45,,,,,,
experimental,polsinelli_2017,"Polsinelli, A. J. (2017). Cognitive and Emotional Associations of Mindfulness in Older Adults [Ph.D., The University of Arizona]. Retrieved 21 July 2022, from https://www.proquest.com/docview/1937577405/abstract/2A0E9A166B814702PQ/1",https://www.proquest.com/docview/1937577405?fromopenview=true&pq-origsite=gscholar,,p. 128; mind-wandering control; 6 weeks; MBSR based,20,9,SD,30,26,0.89,0.12,0.89,0.16,0.89,0.13,0.9,0.12,,,,,,,
experimental,isbel_2019,"Isbel, B. D., Lagopoulos, J., Hermens, D. F., & Summers, M. J. (2019). Mental training affects electrophysiological markers of attention resource allocation in healthy older adults. Neuroscience Letters, 698, 186–191. https://doi.org/10.1016/j.neulet.2019.01.029",https://www.sciencedirect.com/science/article/pii/S0304394019300412?casa_token=ncj58FzAGRkAAAAA:XYcg1lzw4m057e6xjuDfZGciHX3QjcG3l3JzI0Ac1AkQTrcF0eMIRvZS0XbbTJ5RYGBN_E7m,,8 weeks. mindfulness attention vs. computer attention training.,15,21,SE,49,30,,,,,,,,,5.485,14.146,4.632,-3.459,5.92,,
experimental,stieger_2020,"Stieger, J. R., Engel, S., Jiang, H., Cline, C. C., Kreitzer, M. J., & He, B. (2020). Mindfulness Improves Brain–Computer Interface Performance by Increasing Control Over Neural Activity in the Alpha Band. Cerebral Cortex (New York, NY), 31(1), 426–438. https://doi.org/10.1093/cercor/bhaa234",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7727383/#sup1,,"Only interaction stats available, can ask for data. MBSR ~6hrs/week 6 weeks, waitlist control",18,9,SD,33,29,,,,,,,,,2.32,,14.55,,15.96,8.98,
NA_only_graphs,,"Isbel, B., Weber, J., Lagopoulos, J., Stefanidis, K., Anderson, H., & Summers, M. J. (2020). Neural changes in early visual processing after 6 months of mindfulness training in older adults. Scientific Reports, 10(1), 21163. https://doi.org/10.1038/s41598-020-78343-w",https://www.nature.com/articles/s41598-020-78343-w#Sec9,https://www.nature.com/articles/s41598-020-78343-w/tables/1,"post-test graph only. 8 weeks, weekly group training, 20-45 mins home every day; CT: computerised cognitive training",15,21,SD,50,31,44.8,32.7,,,53.4,34.8,,,,,,,,,
NA_only_graphs,,"Levinson, D. B., Stoll, E. L., Kindy, S. D., Merry, H. L., & Davidson, R. J. (2014). A mind you can count on: Validating breath counting as a behavioral measure of mindfulness. Frontiers in Psychology, 5. https://doi.org/10.3389/fpsyg.2014.01202",https://www.frontiersin.org/articles/10.3389/fpsyg.2014.01202/full ,"Supp on website but no cell means, only graphical data available; https://www.frontiersin.org/files/Articles/110196/fpsyg-05-01202-HTML/image_m/fpsyg-05-01202-g004.jpg","4 experiments, each convergent validity of BC vs another measure. Study 4 is BC vs working memory training active control, 4 weeks 25 min/work day. http://webtasks.keck.waisman.wisc.edu/breath/demo/",25,9,,,,,,,,,,,,,,,,,,
correlations,,"Clapper, J., Ware, S., Martinez, F. J., Benitez, K., & Koshino, H. (2021). Breath counting as a measure of sustained attention in mindfulness meditation and its effect on mood. Psychology of Consciousness: Theory, Research, and Practice, No Pagination Specified-No Pagination Specified. https://doi.org/10.1037/cns0000311",https://psycnet.apa.org/fulltext/2022-06131-001.pdf?auth_token=5a76e5dda7d23bd8b7d13d51c80be0e0468151a9,https://scholarworks.lib.csusb.edu/psychology-publications/15/,intervention which is just the task,15,9,,,,,,,,,,,,,,,,,,
correlations,,"F. Wong, K., A. A. Massar, S., Chee, M. W. L., & Lim, J. (2018). Towards an Objective Measure of Mindfulness: Replicating and Extending the Features of the Breath-Counting Task. Mindfulness, 9(5), 1402–1410. https://doi.org/10.1007/s12671-017-0880-1",https://link.springer.com/article/10.1007/s12671-017-0880-1,,Good description of analysis; reports reliability,20,9,,,,,,,,,,,,,,,,,,
