"","r","lower","upper","h1","BF","RRl","RRu"
"Tasks 1&2",0.05,-0.18,0.27,0.48,0.36,0.01,0.47
"Tasks 1&3",0.11,-0.12,0.34,0.39,0.72,0.01,0.87
"Tasks 1&4",0.15,-0.09,0.41,0.44,0.94,0.01,1
"Tasks 1&5",0.12,-0.13,0.36,0.27,0.99,0.01,0.96
"Tasks 1&6",0,-0.24,0.24,0.49,0.26,0.35,1
"Tasks 2&3",0.04,-0.17,0.27,0.4,0.37,0.01,0.43
"Tasks 2&4",0.02,-0.21,0.25,0.45,0.3,0.38,1
"Tasks 2&5",0.01,-0.22,0.25,0.28,0.43,0.01,0.36
"Tasks 2&6",0.02,-0.22,0.26,0.5,0.29,0.4,1
"Tasks 3&4",0.11,-0.12,0.35,0.37,0.75,0.01,0.87
"Tasks 3&5",0.34,0.1,0.58,0.23,11.07,0.08,1
"Tasks 3&6",0.01,-0.23,0.25,0.41,0.32,0.37,1
"Tasks 4&5",0.07,-0.19,0.32,0.26,0.7,0.01,0.61
"Tasks 4&6",-0.1,-0.34,0.16,0.46,0.17,0.21,1
"Tasks 5&6",-0.02,-0.28,0.24,0.28,0.39,0.01,0.33
