"","r","lower","upper","h1","BF","RRl","RRu"
"Tasks 1&2",0.13,-0.23,0.49,0.49,0.69,0.01,1
"Tasks 1&3",0.11,-0.12,0.33,0.39,0.72,0.01,0.88
"Tasks 1&4",0.39,0.06,0.73,0.46,3.65,0.2,0.68
"Tasks 1&5",0.12,-0.13,0.35,0.27,1,0.01,0.96
"Tasks 1&6",-0.04,-0.32,0.25,0.49,0.25,0.33,1
"Tasks 2&3",-0.11,-0.5,0.27,0.41,0.33,0.39,1
"Tasks 2&4",0.14,-0.39,0.66,0.47,0.79,0.01,1
"Tasks 2&5",0.19,-0.22,0.57,0.28,1.18,0.01,1
"Tasks 2&6",-0.05,-0.48,0.38,0.51,0.38,0.01,0.55
"Tasks 3&4",0.13,-0.22,0.47,0.38,0.81,0.01,1
"Tasks 3&5",0.35,0.12,0.59,0.23,12.22,0.07,1
"Tasks 3&6",-0.07,-0.34,0.21,0.41,0.24,0.28,1
"Tasks 4&5",0.25,-0.11,0.61,0.26,1.71,0.01,1
"Tasks 4&6",-0.25,-0.63,0.15,0.48,0.23,0.3,1
"Tasks 5&6",0.06,-0.23,0.36,0.28,0.65,0.01,0.62
