"","r","lower","upper","h1","BF","RRl","RRu"
"Tasks 1&2",-0.1,-0.4,0.2,0.47,0.22,0.28,1
"Tasks 1&3",0.14,-0.09,0.37,0.35,1.06,0.01,1
"Tasks 1&4",0.4,0.02,0.76,0.46,2.73,0.01,1
"Tasks 1&5",0.13,-0.12,0.37,0.27,1.08,0.01,1
"Tasks 1&6",0,-0.25,0.25,0.49,0.27,0.36,1
"Tasks 2&3",0.4,0.13,0.66,0.34,11.56,0.09,1
"Tasks 2&4",-0.09,-0.52,0.32,0.45,0.36,0.01,0.46
"Tasks 2&5",0.09,-0.21,0.37,0.27,0.79,0.01,0.75
"Tasks 2&6",0.1,-0.19,0.39,0.49,0.57,0.01,0.81
"Tasks 3&4",0.1,-0.28,0.5,0.34,0.77,0.01,0.91
"Tasks 3&5",0.27,0.03,0.53,0.2,3.93,0.12,0.53
"Tasks 3&6",-0.07,-0.3,0.17,0.36,0.22,0.22,1
"Tasks 4&5",0.23,-0.14,0.59,0.26,1.5,0.01,1
"Tasks 4&6",-0.24,-0.62,0.12,0.48,0.21,0.27,1
"Tasks 5&6",-0.03,-0.29,0.24,0.28,0.38,0.01,0.32
