,age,nationality,gender,gender_text,hours,years,months,practice,TMS_q1,TMS_q2,TMS_q3,TMS_q4,TMS_q5,TMS_q6,TMS_q7,SSO_q1,SSO_q2,SSO_q3,SSO_q4,SSO_q5,SSO_q6,SSO_q7,SSO_q8,SSO_q9,SSO_q10,SSO_q11,SSO_q12,SSO_q13,SSO_q14,data_option,task_order,platform,user_agent,ID
1,22,United Kingdom,female,,10,0,0,,moderately,quite_a_bit,quite_a_bit,quite_a_bit,moderately,very_much,quite_a_bit,sometimes_true,often_true,sometimes_true,often_true,rarely_true,often_true,sometimes_true,often_true,very_often_or_always_true,often_true,sometimes_true,very_often_or_always_true,often_true,sometimes_true,TRUE,span_dots_gabor_breath_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",28371
2,20,United Kingdom,male,,60,1,1,vipassana,moderately,a_little,quite_a_bit,quite_a_bit,moderately,moderately,a_little,often_true,often_true,very_often_or_always_true,often_true,often_true,sometimes_true,often_true,often_true,very_often_or_always_true,very_often_or_always_true,sometimes_true,sometimes_true,often_true,often_true,TRUE,dots_gabor_span_breath_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",28388
3,21,United Kingdom,female,,3,0,0,mindfullness,a_little,quite_a_bit,quite_a_bit,moderately,moderately,a_little,a_little,sometimes_true,rarely_true,often_true,often_true,often_true,sometimes_true,sometimes_true,sometimes_true,sometimes_true,often_true,often_true,often_true,often_true,often_true,FALSE,gabor_dots_breath_span_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",28393
4,21,United Kingdom,male,,0,0,0,,a_little,quite_a_bit,quite_a_bit,moderately,a_little,very_much,moderately,sometimes_true,rarely_true,sometimes_true,sometimes_true,often_true,often_true,sometimes_true,sometimes_true,sometimes_true,sometimes_true,very_often_or_always_true,very_often_or_always_true,rarely_true,sometimes_true,TRUE,gabor_breath_dots_span_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",28443
5,22,United Kingdom,female,,0,0,0,,moderately,a_little,quite_a_bit,a_little,quite_a_bit,very_much,very_much,often_true,often_true,rarely_true,rarely_true,often_true,never_or_very_rarely_true,often_true,sometimes_true,very_often_or_always_true,often_true,rarely_true,often_true,often_true,often_true,TRUE,gabor_breath_dots_span_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",28469
6,22,United Kingdom,female,,1,1,0,Before I go to sleep on Netflix guided meditation,not_at_all,a_little,a_little,not_at_all,not_at_all,a_little,a_little,very_often_or_always_true,sometimes_true,often_true,often_true,sometimes_true,rarely_true,often_true,often_true,often_true,often_true,sometimes_true,never_or_very_rarely_true,often_true,never_or_very_rarely_true,TRUE,span_dots_breath_gabor_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",28518
7,23,United Kingdom,female,,100,5,2,Body scan meditation,moderately,moderately,a_little,moderately,moderately,moderately,moderately,often_true,often_true,often_true,often_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,often_true,often_true,often_true,often_true,sometimes_true,sometimes_true,TRUE,breath_dots_span_gabor_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",28557
8,22,Jordan,female,,0,0,0,Never meditated,quite_a_bit,quite_a_bit,quite_a_bit,quite_a_bit,quite_a_bit,quite_a_bit,quite_a_bit,often_true,sometimes_true,rarely_true,rarely_true,very_often_or_always_true,very_often_or_always_true,often_true,often_true,often_true,often_true,often_true,often_true,often_true,often_true,FALSE,span_gabor_dots_breath_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",28701
9,22,Turkey,male,,0,0,0,,very_much,very_much,a_little,quite_a_bit,quite_a_bit,very_much,very_much,often_true,often_true,often_true,often_true,often_true,rarely_true,very_often_or_always_true,very_often_or_always_true,rarely_true,never_or_very_rarely_true,often_true,often_true,often_true,often_true,FALSE,breath_span_gabor_dots_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",28727
10,21,Hong Kong,female,,0,0,0,na,moderately,a_little,quite_a_bit,quite_a_bit,moderately,moderately,moderately,sometimes_true,rarely_true,never_or_very_rarely_true,never_or_very_rarely_true,often_true,often_true,often_true,very_often_or_always_true,often_true,often_true,often_true,often_true,rarely_true,sometimes_true,TRUE,gabor_dots_breath_span_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",29402
